Node, InDeg, OutDeg, CloseCent, BetwnCent, influence_mean_0, influence_mean_1, influence_mean_2, influence_mean_3, influence_mean_4, influence_std_0, influence_std_1, influence_std_2, influence_std_3, influence_std_4, redundancy_mean_0, redundancy_mean_1, redundancy_mean_2, redundancy_mean_3, redundancy_mean_4, redundancy_std_0, redundancy_std_1, redundancy_std_2, redundancy_std_3, redundancy_std_4, avgdeathage_mean_0, avgdeathage_mean_1, avgdeathage_mean_2, avgdeathage_mean_3, avgdeathage_mean_4, avgdeathage_std_0, avgdeathage_std_1, avgdeathage_std_2, avgdeathage_std_3, avgdeathage_std_4
0, 34, 19, 0.6164383561643836, 0.0021238845012342055, 0.05685911310911311, 0.057184659321860364, 0.03436264063669385, 0.026047742303017107, 0.01982534912593338, 0.015898534834976174, 0.01496249667339009, 0.002928136024531618, 0.0015789069582619734, 0.0010576868438259975, 0.1812920412920413, 0.11922191370720783, 0.06210631123011988, 0.023607170299583154, 0.010266196567862401, 0.2179720954103746, 0.1295746506050259, 0.05188982159264522, 0.017437267383998825, 0.007869448562992697, 5.862534548784549, 5.8826925688690395, 3.297968732471682, 2.4220659864804452, 1.8208924282107541, 1.929600804917725, 1.881057466962754, 0.3016968636069711, 0.15464544746258788, 0.09850286297329197
1, 0, 14, 0.0, 0.0, 0.06498697730840589, 0.06645262475619618, 0.04036547076534143, 0.03133929124542308, 0.02573183543218488, 0.018403887874172783, 0.012665759716421877, 0.004281234406070194, 0.0017319892731658, 0.0008985588024537888, 0.24356240981240984, 0.14225614663114666, 0.05330892014008186, 0.02639167952432663, 0.007867325105759819, 0.25275234544495184, 0.13197246103825347, 0.030250559612449095, 0.016082906209008978, 0.005222531565078061, 6.778024891774892, 6.80063061938062, 3.8135264602385335, 2.901276249757289, 2.3551979782597394, 2.6554513968013413, 1.5306321142972634, 0.39790553999489964, 0.17139447797203736, 0.08297385451233687
2, 0, 12, 0.0, 0.0, 0.06801601759584952, 0.06117454672761209, 0.04312591318103005, 0.03211091526498629, 0.026075052825640172, 0.010059771346120431, 0.010881553559351931, 0.0038977048238499454, 0.001829547736282313, 0.001118730485185577, 0.21516987097869453, 0.1639158867448341, 0.05978901458111553, 0.024372930026434408, 0.010455000129086603, 0.22270107396544642, 0.17585834716587798, 0.038397228295864054, 0.01406363520241659, 0.008810421861820702, 6.943435510567862, 6.070379627682259, 4.115286692112299, 2.973343482396804, 2.3884234944508833, 1.0779979710240155, 1.2022593754966593, 0.43141869150512535, 0.18355022603939491, 0.10627183382037436
3, 35, 15, 0.6206896551724138, 0.0010071091218641524, 0.05583049886621315, 0.054528170242455966, 0.0330293773250742, 0.024836195177392828, 0.019979357322795908, 0.017064029844015786, 0.013081693432102104, 0.0026677217083178354, 0.0013539836680625955, 0.0008595710396766328, 0.18896825396825395, 0.1541797091797092, 0.04335470144403329, 0.025095305163899722, 0.013912019651696847, 0.14540841344963515, 0.16006407089514946, 0.03805684873221814, 0.017765906669215282, 0.007311160218763023, 5.837525252525253, 5.7543142968142975, 3.1374126228215706, 2.313048469211727, 1.840106676774948, 2.0856447769540933, 1.6460417293170626, 0.28368152914913425, 0.1281301627028439, 0.07985971112178533
4, 0, 10, 0.0, 0.0, 0.07079822039986876, 0.06833892298178013, 0.041613680452452076, 0.03282893367000998, 0.026204768730706103, 0.015990950098497533, 0.013332427029779898, 0.003524189577502684, 0.0021518796588405028, 0.0009057425373309642, 0.22322385947385945, 0.20326839826839826, 0.04413388066789863, 0.02998140128134591, 0.008694077626560454, 0.15695648481753097, 0.2003936608995485, 0.04023180000317688, 0.016886228368826472, 0.006510701219543299, 7.224058025308025, 6.964391441891442, 3.899601433780954, 3.035572417151006, 2.4035423706055123, 1.8022822380205172, 1.5314655218300242, 0.34189993272748925, 0.19993089657355542, 0.08437360744548064
5, 0, 28, 0.0, 0.0, 0.06178552140777416, 0.0656720492572141, 0.04096842315161839, 0.03193910247877664, 0.0260239609814455, 0.008988952801575875, 0.010849543119255114, 0.003290199170034346, 0.0022917467654427312, 0.0007686049038161978, 0.134356684981685, 0.19694666444666445, 0.04816070108781912, 0.017518158972828348, 0.008363686434210954, 0.1285199523436325, 0.18477325065983036, 0.03063401853098675, 0.01566258459908809, 0.008441106352856765, 6.265176282051281, 6.648726412476412, 3.8507533908003397, 2.9451657936379743, 2.3843534672688325, 1.042162429951262, 1.4341923470796563, 0.34536459210815607, 0.2293798399084971, 0.07699102884272299
6, 0, 14, 0.0, 0.0, 0.06691739426629537, 0.0615561102511652, 0.04093869950417098, 0.03255670107747078, 0.025563957420989002, 0.01338950989698864, 0.012153381478289985, 0.0029443403964285295, 0.0011924029603076784, 0.0007915949851789, 0.17716200466200463, 0.14180097680097678, 0.07556702614585607, 0.031075978794824426, 0.004896444634883011, 0.1635494996295396, 0.16637099937673472, 0.07067893683004023, 0.022478913748264665, 0.0050558295033868855, 6.741412753912755, 6.140400294150294, 3.877000426909087, 3.0244057455715216, 2.3363749978238597, 1.5784255000850964, 1.4480395789420244, 0.3072994019140595, 0.11237949567197361, 0.07491435296552015
7, 57, 17, 0.7317073170731707, 0.003612299621540342, 0.051139437485591334, 0.05177096865283679, 0.030744618841170385, 0.022818771826900158, 0.018015548877849084, 0.01110541627958207, 0.011924992745767325, 0.004149549927840209, 0.0015831253235476014, 0.0008315932357858241, 0.12341686091686092, 0.20641108891108892, 0.04703034257531102, 0.029206601607961968, 0.014027405559238532, 0.11246987200858076, 0.15159145703705662, 0.04329337618712329, 0.018595215962443, 0.009584772161864957, 5.453327228327229, 5.346572871572872, 2.9216814128918513, 2.138259600672761, 1.6606609027691952, 1.3328424123573506, 1.3587265440381522, 0.42747859103075986, 0.14454408093365886, 0.07626406581103966
8, 66, 24, 0.7894736842105263, 0.006995577759259295, 0.04991604625533197, 0.053019602497624475, 0.030305462929228012, 0.022247974223101867, 0.017155002572861074, 0.012011547225997411, 0.014101349334697769, 0.003027281213448813, 0.0014473637669583201, 0.0007449755995502422, 0.11690608003108002, 0.19059662559662557, 0.05387746206254771, 0.027739818827544744, 0.012551714761304861, 0.1028674126711057, 0.17774494460920592, 0.024347977568075264, 0.02414775019019136, 0.008423556734130533, 5.024771756021757, 5.55120892995893, 2.9147078632052716, 2.0765359505802325, 1.5788030814972802, 1.2729428445016313, 1.7309347226397795, 0.3011155946929093, 0.13932873725218928, 0.07323299785188188
9, 46, 25, 0.6716417910447762, 0.005437058104752299, 0.060454287775716355, 0.052152154926880204, 0.033647895685299, 0.02506695718567497, 0.019853139644311162, 0.016345618606018818, 0.009445741849275213, 0.003108574978224716, 0.0013059657150888196, 0.000771462260542385, 0.16514790764790768, 0.18843739593739595, 0.03477411045621689, 0.01600303955292473, 0.009435732014651883, 0.14389980807849653, 0.27821442684186004, 0.03996500683431537, 0.013702015797445672, 0.007459101332804066, 6.373524531024532, 5.285938644688645, 3.1794796422231455, 2.327957424876374, 1.8245140964186413, 1.7636212215420668, 1.1694947622605363, 0.3230485009222345, 0.14456841942972884, 0.0737901868401987
