Node, InDeg, OutDeg, CloseCent, BetwnCent, influence_mean_0, influence_mean_1, influence_mean_2, influence_mean_3, influence_mean_4, influence_std_0, influence_std_1, influence_std_2, influence_std_3, influence_std_4, redundancy_mean_0, redundancy_mean_1, redundancy_mean_2, redundancy_mean_3, redundancy_mean_4, redundancy_std_0, redundancy_std_1, redundancy_std_2, redundancy_std_3, redundancy_std_4, avgdeathage_mean_0, avgdeathage_mean_1, avgdeathage_mean_2, avgdeathage_mean_3, avgdeathage_mean_4, avgdeathage_std_0, avgdeathage_std_1, avgdeathage_std_2, avgdeathage_std_3, avgdeathage_std_4
0, 46, 89, 0.5111579193727693, 0.013327067176558146, 0.21790655884995508, 0.16282694277682486, 0.14016460155973848, 0.12893324254853883, 0.12925747557235584, 0.1576330044029483, 0.1095870286620471, 0.038597460534019995, 0.022328741877718383, 0.017627085066295803, 0.8185714285714285, 0.6643749999999999, 0.05770850334059352, 0.014296698909216393, 0.006851629209978329, 1.8259193937994802, 1.549793474579858, 0.08827676038144937, 0.01700522821179589, 0.011449806706414382, 5.9238777850442705, 5.912496982607502, 5.3400864106448385, 4.0963885410217875, 3.085354625997855, 7.3656108690042075, 6.453525342362191, 2.1008174701710915, 1.4182953867220813, 0.80382921455593
1, 42, 27, 0.5111579193727693, 0.0021875158712668773, 0.05457884097035041, 0.06222638426439757, 0.05104915173267129, 0.04016111393814886, 0.03838452921641505, 0.09222577607523161, 0.06203712080825585, 0.015946313665294167, 0.008422734186185705, 0.003665142600754078, 0.0, 0.0, 0.003101503759398496, 0.010132575757575759, 0.0007042253521126761, 0.0, 0.0, 0.009422431926826643, 0.03964750760627139, 0.0030696471433385025, 1.6858777044309434, 2.5306432813705326, 2.9425082702136636, 2.997617969200722, 1.9581303277068713, 0.6218924097757034, 1.5315692137380128, 1.4950222277920733, 2.6377036101812315, 0.10719286330440918
2, 57, 22, 0.54478672985782, 0.003044311927608674, 0.02878537735849057, 0.06272066180674672, 0.039148404849295, 0.03593441524249456, 0.03604578368196782, 0.03318090924457236, 0.07619892356491144, 0.011127470104125294, 0.004897880424847458, 0.003231141202327346, 0.0, 0.26833333333333337, 0.0, 0.0005681818181818182, 0.0, 0.0, 0.9651985978716161, 0.0, 0.0024766471270117464, 0.0, 1.5621775668904485, 3.2755498099754923, 2.199540538412964, 2.4059542234668596, 1.9721223857800365, 0.7162878672318815, 3.893696185269707, 0.3092048983725024, 1.0294471837606847, 0.16020460077414728
3, 13, 19, 0.4404658666935565, 0.0004098946206327631, 0.052206592542677455, 0.06699904785989692, 0.052735085897245716, 0.04617779493697042, 0.03619670878557994, 0.05699830459794825, 0.05490332316570205, 0.018495808806196716, 0.011154935152310943, 0.005361249486707511, 0.04, 0.5785714285714285, 0.026957591547257197, 0.007421558230927577, 0.00025906735751295336, 0.17435595774162696, 2.489354887335681, 0.07657306059344239, 0.01898263575892539, 0.0011292484309690864, 2.372117407447218, 4.5374779252618325, 3.433403627034944, 3.321242825188611, 2.673237975764759, 2.2268252026445183, 9.391276101140178, 2.4567757643732495, 1.90357486509027, 0.9764514213990557
4, 47, 16, 0.53493270632034, 0.0027469540819231014, 0.03889412997903565, 0.07282509877439122, 0.038293382917055356, 0.03130838090945871, 0.02944209769020652, 0.0733371080422137, 0.08308368452805294, 0.014444039393385974, 0.007266741805718149, 0.00427857824723752, 0.18333333333333332, 1.6697222222222223, 0.005672753164938873, 0.00202020202020202, 0.0011101298061123891, 0.7991314729824569, 4.0626131418242935, 0.014009616455673094, 0.006850838366793201, 0.002837887417941538, 1.980188429838794, 7.558901512192487, 3.407648622901226, 4.103154817966714, 2.9461680266110286, 2.3850269654992915, 13.125584452721935, 1.6340990397409445, 1.6838889575500993, 1.0018158808038315
5, 45, 24, 0.5098989097191418, 0.002262251084062319, 0.09623427672955975, 0.04980318685507365, 0.03913956761865323, 0.03556486455410584, 0.03220414145177522, 0.12888858532323466, 0.03764375656920589, 0.017699793214745643, 0.00991576252849788, 0.005325766834464016, 0.8408333333333333, 0.02727272727272727, 0.0009615384615384616, 0.0017646211466436183, 0.0002747252747252747, 2.0987329180034107, 0.0867217455833587, 0.004191248984173725, 0.005509421645033461, 0.0011974997097639213, 4.020687150509774, 2.5666182064525684, 2.872438297533575, 3.0647374420335223, 2.2189502900055293, 6.127049892169327, 1.9812357593216676, 1.758449233416469, 1.42893712165583, 0.5074866048214077
6, 44, 62, 0.5175473933649288, 0.00924342127525799, 0.09561058700209643, 0.1253635836124044, 0.10004706320608533, 0.08708306725485673, 0.09204685411799565, 0.07934919415985558, 0.0589812769274516, 0.028581584622856124, 0.018490215782259758, 0.013374978717812442, 0.0, 0.2490079365079365, 0.024755989352262645, 0.006144864774505288, 0.002734102693408136, 0.0, 0.5762567124354024, 0.06561240674255141, 0.016616638247736213, 0.004770523254278809, 1.9307080146587396, 4.224525608769882, 4.753192107672273, 3.295728438965572, 2.905601908737591, 1.208431190236448, 3.2129877107691676, 3.9614656265070445, 1.3355654661417222, 1.2078775330886162
7, 42, 47, 0.508646086845139, 0.0036292067666646925, 0.05330188679245283, 0.11417308746023366, 0.08096794285610777, 0.07512046755390668, 0.07723581875310631, 0.052541873173431126, 0.08161455173644395, 0.0189089305040984, 0.012288635169480365, 0.0068986516934465125, 0.0, 0.6638888888888889, 0.00885522743599076, 0.011252316763249054, 0.00025906735751295336, 0.0, 2.8684358773931216, 0.016718241446294343, 0.03439401171103316, 0.0011292484309690866, 1.5992444737930709, 4.896396845116342, 3.2849383092337283, 3.2178504331732682, 2.335659376614749, 0.6726892182061589, 10.26136763626037, 1.6379308488830897, 2.5098731502180076, 0.3760518661408067
8, 12, 22, 0.4004235151759605, 0.0022077507386245986, 0.06913522012578616, 0.09481577712120168, 0.06451320425271571, 0.044195504714022095, 0.03629183127894042, 0.0849961243552502, 0.09742662985885113, 0.03861811497607399, 0.010342631793956635, 0.005229211207122832, 0.6033333333333333, 0.8878571428571428, 0.05522361406088988, 0.019818186281328497, 0.0002747252747252747, 1.769805387920127, 2.187770831954738, 0.12561267981313431, 0.06704603792952143, 0.0011974997097639213, 4.088018096253797, 6.215826316800822, 4.615696548945434, 4.286911832687252, 3.0776206483268074, 5.922996069273415, 8.993652056407061, 2.777714813704875, 3.4864889612048464, 1.2712068156278702
9, 32, 21, 0.4905662496350037, 0.0018731628862702994, 0.041674528301886796, 0.056921305895362505, 0.04826845320538163, 0.0395007254470693, 0.030242559538449364, 0.06419086490211401, 0.06925820721639721, 0.014497713848390912, 0.014452529016534049, 0.005167667601156912, 0.0, 0.07857142857142857, 0.0011904761904761904, 0.009701391532377448, 0.0, 0.0, 0.3112679795642989, 0.005189165408976992, 0.028903964882694443, 0.0, 1.7716068370659823, 2.8178463038064048, 3.043989514748499, 3.9414380394538027, 2.4426127464613585, 0.9377233981964787, 2.9048274244907244, 1.1419271553601102, 2.31174208770348, 0.9224413831883681
10, 15, 18, 0.4312894944707741, 0.00104481683424199, 0.12788185085354895, 0.0989587927795475, 0.10991544469314199, 0.07218798732954393, 0.047822802666993715, 0.2029371314720028, 0.07840358163544381, 0.029918937701915817, 0.018726828604679013, 0.006264250824386612, 1.2933333333333334, 0.16944444444444445, 0.08737490195752731, 0.02523326486759852, 0.0020364925028397334, 4.762511009027812, 0.5120387114030623, 0.13617578481804446, 0.03275600728504772, 0.0038987318160608785, 4.930381881181236, 3.5229382548894406, 6.20724613590676, 4.80467044464423, 3.1888933094916565, 9.359070870021387, 2.7047825324281884, 3.361705566177113, 2.1887228235506884, 1.000790569328929
11, 15, 3, 0.42077023850807227, 0.0007020019604534279, 0.08523584905660378, 0.05616525619681837, 0.03593374142805321, 0.03681141686653211, 0.026887905864796197, 0.12376928549922717, 0.07576041445391245, 0.02359626505821228, 0.016962284677446305, 0.011039716138541506, 0.8491666666666667, 0.9619318181818182, 0.06107475041298571, 0.06016787104837584, 0.01261303274920517, 3.3172171863040734, 2.634448449634381, 0.11682228833421579, 0.08894593766193389, 0.014144653572059863, 4.581972720910073, 7.439095822338038, 4.9477359435571255, 7.118782887204409, 4.908398147585378, 7.694161594930871, 14.526197668618774, 3.145691457112584, 3.669224320425243, 1.4049586799173621
12, 14, 16, 0.4423481994572042, 0.0012597996695979444, 0.03836084905660379, 0.07596014179740596, 0.046034661076389635, 0.043036394810638444, 0.036751653351595616, 0.025138412710332216, 0.05201139706299928, 0.010552530982120653, 0.006956210639368595, 0.004862646120519275, 0.01, 0.09262820512820512, 0.001, 0.007502003834124438, 0.0010969449398768772, 0.04358898943540674, 0.38506637554659895, 0.004358898943540674, 0.012039959577778146, 0.00279961773290465, 1.9210774757280837, 3.425567800323548, 2.5865942665885155, 2.2926493063525233, 2.2780367170908162, 0.49680292023659106, 3.645309339965913, 0.7139340679576006, 0.36896613492063945, 0.7472047732033955
