Time of Death, Message ID, Age at Death, Place of Death, Place Before Death
1, 4, 2, 9, 10
1, 25, 2, 9, 114
1, 5, 2, 29, 13
1, 16, 2, 29, 72
1, 10, 2, 45, 41
1, 41, 1, 45, 45
1, 14, 2, 54, 65
1, 15, 1, 65, 65
1, 42, 1, 54, 54
1, 45, 1, 63, 63
1, 46, 1, 63, 63
1, 21, 2, 83, 101
1, 22, 1, 101, 101
1, 17, 2, 103, 78
1, 52, 1, 103, 103
1, 11, 2, 115, 42
1, 26, 2, 115, 116
1, 27, 2, 115, 118
1, 2, 2, 149, 6
1, 62, 1, 149, 149
1, 18, 2, 159, 93
1, 19, 1, 93, 93
1, 69, 1, 180, 180
1, 70, 1, 180, 180
2, 48, 2, 8, 75
2, 1, 3, 8, 114
2, 47, 2, 44, 65
2, 53, 2, 44, 106
2, 51, 2, 61, 90
2, 82, 1, 61, 61
2, 40, 2, 83, 44
2, 84, 1, 83, 83
2, 85, 1, 83, 83
2, 54, 2, 108, 107
2, 59, 2, 108, 136
2, 67, 2, 115, 160
2, 88, 1, 115, 115
2, 89, 1, 115, 115
2, 7, 3, 133, 31
2, 95, 1, 133, 133
2, 38, 2, 140, 28
2, 98, 1, 140, 140
2, 9, 3, 152, 144
2, 100, 1, 152, 152
2, 36, 2, 159, 6
2, 20, 3, 159, 14
2, 8, 3, 159, 72
2, 57, 2, 159, 126
2, 58, 2, 159, 128
2, 30, 3, 162, 164
2, 102, 1, 162, 162
3, 49, 3, 0, 74
3, 108, 1, 0, 0
3, 0, 4, 6, 2
3, 91, 2, 6, 119
3, 80, 2, 12, 45
3, 111, 1, 12, 12
3, 61, 3, 15, 153
3, 66, 3, 15, 154
3, 68, 3, 24, 113
3, 90, 2, 24, 117
3, 44, 3, 40, 89
3, 115, 1, 40, 40
3, 60, 3, 46, 139
3, 116, 1, 46, 46
3, 118, 1, 68, 68
3, 119, 1, 68, 68
3, 77, 2, 72, 33
3, 107, 2, 72, 175
3, 97, 2, 84, 135
3, 124, 1, 84, 84
3, 72, 2, 100, 4
3, 34, 4, 100, 6
3, 79, 2, 109, 39
3, 50, 3, 109, 176
3, 71, 3, 113, 55
3, 129, 1, 113, 113
3, 73, 2, 115, 10
3, 96, 2, 115, 134
3, 105, 2, 115, 170
3, 64, 3, 122, 98
3, 13, 4, 122, 130
3, 130, 1, 122, 122
3, 87, 2, 136, 95
3, 134, 1, 136, 136
3, 31, 4, 144, 183
3, 136, 1, 144, 144
3, 99, 2, 151, 142
3, 65, 3, 151, 144
3, 138, 1, 151, 151
3, 93, 2, 155, 126
3, 139, 1, 155, 155
3, 140, 1, 155, 155
3, 75, 2, 157, 14
3, 56, 3, 157, 155
3, 55, 3, 165, 52
3, 12, 4, 165, 72
4, 101, 3, 15, 162
4, 143, 2, 15, 175
4, 78, 3, 38, 20
4, 6, 5, 38, 117
4, 132, 2, 53, 127
4, 151, 1, 53, 53
4, 76, 3, 60, 59
4, 154, 1, 60, 60
4, 114, 2, 68, 26
4, 156, 1, 68, 68
4, 122, 2, 72, 71
4, 104, 3, 72, 116
4, 141, 2, 73, 159
4, 157, 1, 73, 73
4, 158, 1, 73, 73
4, 159, 1, 82, 82
4, 160, 1, 82, 82
4, 161, 1, 86, 86
4, 162, 1, 86, 86
4, 35, 5, 99, 99
4, 165, 1, 99, 99
4, 28, 5, 115, 43
4, 33, 5, 115, 93
4, 117, 2, 117, 47
4, 167, 1, 117, 117
4, 137, 2, 145, 146
4, 174, 1, 145, 145
4, 175, 1, 145, 145
4, 176, 1, 145, 145
4, 125, 2, 153, 86
4, 29, 5, 153, 104
4, 120, 2, 157, 69
4, 123, 2, 157, 83
4, 106, 3, 157, 149
4, 37, 4, 157, 164
4, 121, 2, 159, 70
4, 131, 2, 159, 126
4, 178, 1, 159, 159
4, 179, 1, 159, 159
5, 145, 2, 18, 23
5, 181, 1, 18, 18
