Time of Death, Message ID, Age at Death, Place of Death, Place Before Death
1, 0, 2, 117, 1
1, 1, 1, 1, 1
2, 12, 2, 24, 31
2, 22, 1, 24, 24
2, 13, 2, 117, 89
2, 7, 3, 117, 153
3, 6, 4, 40, 42
3, 25, 2, 40, 165
3, 11, 3, 46, 34
3, 23, 2, 46, 37
3, 28, 1, 46, 46
3, 2, 4, 89, 75
3, 15, 3, 89, 116
3, 21, 2, 93, 17
3, 32, 1, 93, 93
4, 37, 1, 38, 38
4, 38, 1, 38, 38
4, 5, 5, 162, 113
4, 10, 4, 162, 154
5, 43, 2, 24, 95
5, 17, 5, 24, 140
5, 18, 4, 88, 2
5, 4, 6, 88, 4
5, 39, 2, 144, 50
5, 40, 2, 144, 51
5, 31, 3, 162, 106
5, 24, 4, 162, 160
5, 3, 6, 164, 163
5, 51, 1, 164, 164
5, 52, 1, 166, 166
5, 53, 1, 166, 166
6, 41, 3, 8, 45
6, 33, 4, 8, 99
6, 30, 4, 45, 18
6, 42, 3, 45, 155
6, 9, 6, 74, 28
6, 19, 5, 74, 68
6, 14, 6, 169, 170
6, 62, 1, 169, 169
7, 56, 2, 59, 48
7, 47, 3, 59, 61
7, 58, 2, 117, 104
7, 34, 5, 117, 122
7, 54, 2, 122, 9
7, 50, 3, 122, 149
7, 20, 6, 144, 51
7, 59, 2, 144, 126
8, 65, 2, 21, 56
8, 66, 2, 21, 62
8, 61, 3, 45, 112
8, 73, 1, 45, 45
8, 60, 3, 114, 45
8, 74, 1, 114, 114
8, 64, 2, 117, 38
8, 76, 1, 117, 117
8, 57, 3, 144, 156
8, 71, 2, 144, 158
8, 36, 5, 161, 85
8, 79, 1, 161, 161
9, 29, 7, 115, 159
9, 26, 8, 115, 167
10, 78, 3, 28, 45
10, 86, 2, 28, 84
10, 83, 2, 59, 12
10, 35, 8, 59, 140
10, 84, 2, 89, 13
10, 95, 1, 89, 89
11, 63, 5, 15, 6
11, 69, 5, 15, 122
11, 92, 2, 31, 32
11, 49, 7, 31, 44
11, 55, 6, 31, 95
11, 44, 8, 72, 34
11, 27, 9, 72, 85
11, 90, 2, 115, 1
11, 97, 2, 115, 134
11, 85, 3, 120, 115
11, 104, 1, 120, 120
11, 45, 7, 143, 176
11, 105, 1, 143, 143
11, 89, 3, 144, 87
11, 96, 2, 144, 126
12, 70, 6, 35, 29
12, 99, 2, 35, 46
12, 68, 6, 35, 164
12, 46, 8, 85, 28
12, 112, 1, 85, 85
13, 101, 3, 9, 18
13, 91, 4, 9, 59
13, 88, 5, 18, 9
13, 81, 5, 18, 89
13, 113, 2, 18, 107
13, 93, 1, 33, 33
13, 117, 1, 33, 33
13, 67, 1, 64, 64
13, 120, 1, 64, 64
13, 115, 2, 92, 136
13, 122, 1, 92, 92
13, 100, 3, 183, 29
13, 48, 5, 183, 28
14, 119, 2, 15, 42
14, 126, 1, 15, 15
14, 127, 1, 15, 15
14, 75, 7, 58, 24
14, 121, 2, 58, 91
14, 132, 1, 91, 91
14, 133, 1, 91, 91
15, 111, 4, 8, 89
15, 107, 5, 8, 117
15, 110, 4, 115, 85
15, 106, 5, 115, 109
15, 139, 1, 143, 143
15, 140, 1, 143, 143
15, 129, 2, 154, 47
15, 108, 4, 154, 130
15, 8, 1, 182, 182
15, 143, 1, 182, 182
16, 98, 7, 57, 108
16, 118, 4, 57, 171
16, 77, 9, 111, 72
16, 149, 1, 111, 111
16, 124, 4, 115, 58
16, 114, 5, 115, 91
17, 145, 2, 159, 45
17, 151, 2, 159, 132
18, 82, 10, 15, 2
18, 153, 2, 15, 27
18, 103, 8, 15, 52
18, 138, 4, 24, 34
18, 158, 2, 24, 95
18, 146, 3, 112, 28
18, 150, 3, 112, 109
18, 144, 3, 115, 4
18, 135, 4, 115, 96
18, 123, 6, 115, 106
18, 160, 2, 161, 125
18, 137, 4, 161, 145
18, 155, 2, 176, 61
18, 170, 1, 176, 176
19, 136, 5, 46, 140
19, 125, 7, 46, 155
19, 161, 3, 46, 177
19, 152, 4, 183, 29
19, 94, 5, 183, 94
20, 134, 7, 35, 153
20, 180, 1, 35, 35
20, 87, 12, 44, 77
20, 164, 3, 44, 178
20, 154, 4, 46, 50
20, 102, 10, 46, 127
20, 178, 2, 121, 167
20, 185, 1, 121, 121
20, 163, 3, 144, 61
20, 109, 9, 144, 93
20, 159, 4, 183, 11
20, 141, 6, 183, 122
20, 179, 2, 183, 175
21, 157, 5, 94, 29
21, 168, 4, 94, 59
22, 191, 2, 6, 20
22, 131, 9, 6, 59
22, 186, 3, 15, 0
22, 193, 2, 15, 60
22, 130, 1, 63, 63
22, 202, 1, 63, 63
22, 172, 4, 115, 61
22, 205, 1, 115, 115
22, 195, 2, 157, 132
22, 197, 2, 157, 153
22, 188, 3, 163, 55
22, 196, 2, 163, 134
23, 183, 4, 8, 45
23, 190, 3, 8, 109
23, 199, 2, 28, 46
23, 201, 2, 28, 51
23, 175, 5, 34, 34
23, 177, 5, 34, 83
23, 194, 3, 34, 94
23, 171, 5, 85, 44
23, 204, 2, 85, 106
23, 148, 8, 112, 9
23, 212, 1, 112, 112
23, 169, 6, 183, 104
23, 182, 3, 183, 11
24, 200, 3, 15, 24
24, 216, 1, 15, 15
24, 207, 2, 59, 13
24, 209, 2, 59, 23
25, 128, 12, 35, 36
25, 173, 7, 35, 39
25, 184, 6, 55, 54
25, 214, 3, 55, 154
25, 208, 3, 107, 9
25, 72, 18, 107, 92
25, 147, 10, 111, 167
25, 230, 1, 111, 111
25, 211, 3, 115, 157
25, 215, 3, 115, 175
25, 210, 3, 162, 140
25, 233, 1, 162, 162
26, 220, 3, 15, 18
26, 236, 1, 15, 15
26, 166, 9, 21, 122
26, 237, 1, 21, 21
26, 167, 9, 40, 6
26, 16, 26, 40, 42
26, 192, 6, 40, 89
26, 219, 3, 122, 161
26, 187, 7, 122, 170
27, 240, 2, 35, 128
27, 228, 3, 35, 143
27, 189, 7, 44, 4
27, 226, 3, 44, 31
27, 181, 8, 108, 117
27, 250, 1, 108, 108
27, 238, 2, 150, 57
27, 116, 1, 150, 150
27, 241, 2, 159, 133
27, 242, 2, 159, 180
27, 227, 3, 160, 82
27, 232, 3, 160, 101
28, 224, 5, 15, 104
28, 252, 1, 15, 15
28, 229, 4, 31, 95
28, 253, 1, 31, 31
28, 235, 3, 57, 12
28, 246, 2, 57, 56
28, 251, 2, 57, 148
28, 254, 1, 57, 57
28, 206, 7, 89, 21
28, 165, 11, 89, 136
28, 198, 7, 143, 94
28, 259, 1, 143, 143
28, 249, 2, 149, 93
28, 260, 1, 149, 149
30, 223, 7, 89, 11
30, 261, 2, 89, 15
30, 239, 5, 98, 103
30, 231, 6, 98, 121
30, 267, 2, 101, 142
30, 271, 1, 101, 101
30, 272, 1, 101, 101
30, 213, 8, 143, 122
30, 225, 6, 143, 161
30, 264, 2, 161, 81
30, 265, 2, 161, 85
30, 174, 9, 183, 30
30, 278, 1, 183, 183
31, 262, 3, 35, 31
31, 270, 2, 35, 34
31, 234, 6, 94, 112
31, 176, 13, 94, 113
31, 268, 3, 157, 77
31, 247, 5, 157, 166
31, 142, 17, 159, 55
31, 244, 5, 159, 82
31, 257, 4, 159, 94
32, 279, 2, 45, 5
32, 282, 2, 45, 67
32, 275, 3, 58, 145
32, 292, 1, 58, 58
33, 156, 1, 64, 64
33, 221, 10, 64, 72
33, 266, 5, 89, 42
33, 269, 5, 89, 90
33, 283, 3, 161, 94
33, 222, 10, 161, 151
34, 297, 2, 4, 2
34, 295, 3, 4, 122
34, 284, 4, 85, 54
34, 290, 3, 85, 164
34, 285, 4, 157, 45
34, 286, 4, 157, 128
34, 312, 1, 157, 157
34, 218, 11, 167, 100
34, 287, 4, 167, 153
34, 313, 1, 167, 167
35, 299, 3, 29, 35
35, 273, 6, 29, 53
35, 306, 2, 31, 29
35, 307, 2, 31, 48
35, 288, 4, 72, 89
35, 310, 2, 72, 151
35, 274, 6, 107, 104
35, 311, 2, 107, 152
35, 291, 4, 144, 46
35, 281, 5, 144, 73
35, 298, 3, 165, 40
35, 243, 9, 165, 160
35, 300, 3, 179, 45
35, 308, 2, 179, 97
35, 296, 4, 183, 10
35, 294, 4, 183, 28
36, 276, 7, 28, 27
36, 256, 9, 28, 129
36, 315, 2, 44, 9
36, 319, 2, 44, 86
36, 263, 8, 115, 20
36, 217, 13, 115, 89
36, 293, 5, 162, 106
36, 305, 4, 162, 117
36, 314, 3, 162, 168
37, 320, 3, 12, 12
37, 333, 1, 12, 12
37, 323, 3, 106, 151
37, 336, 1, 106, 106
37, 332, 2, 154, 155
37, 339, 1, 154, 154
38, 277, 9, 35, 135
38, 322, 4, 35, 140
38, 301, 6, 113, 96
38, 337, 2, 113, 114
38, 317, 4, 117, 8
38, 325, 3, 117, 20
38, 255, 11, 168, 82
38, 248, 12, 168, 124
38, 350, 1, 168, 168
38, 328, 3, 183, 52
38, 289, 6, 183, 68
39, 352, 1, 51, 51
39, 353, 1, 51, 51
39, 344, 2, 72, 67
39, 318, 5, 72, 104
39, 348, 2, 82, 129
39, 356, 1, 82, 82
39, 347, 2, 94, 128
39, 357, 1, 94, 94
39, 358, 1, 94, 94
39, 331, 4, 153, 77
39, 324, 4, 153, 153
40, 335, 4, 31, 65
40, 309, 7, 31, 73
40, 342, 3, 108, 18
40, 203, 19, 108, 115
40, 321, 6, 140, 143
40, 364, 1, 140, 140
40, 349, 3, 144, 55
40, 346, 3, 144, 149
40, 366, 1, 144, 144
40, 316, 6, 155, 54
40, 367, 1, 155, 155
41, 341, 5, 58, 55
41, 304, 9, 58, 89
41, 351, 3, 72, 34
41, 373, 1, 72, 72
41, 280, 11, 78, 170
41, 374, 1, 78, 78
41, 362, 2, 82, 130
41, 363, 2, 82, 132
42, 361, 3, 35, 53
42, 365, 3, 35, 60
42, 302, 10, 35, 61
42, 343, 5, 55, 19
42, 303, 10, 55, 136
42, 345, 5, 61, 90
42, 376, 2, 61, 104
42, 326, 7, 133, 46
42, 355, 4, 133, 153
