Node, InDeg, OutDeg, CloseCent, BetwnCent,  Influence, Redundancy, AvgDeathAge
0, 14, 21, 0.42582627678360374, 0.0006600894360931457,  0.07817239635995953, 0.12790697674418605, 3.7157825802226587
1, 16, 21, 0.4392381280208826, 0.0007869762577420499,  0.03522021456804066, 0.06493506493506493, 3.393548387096774
2, 8, 13, 0.3530584953079246, 7.47354685478684e-06,  0.041533180778032044, 0.0, 2.5398824517212426
3, 8, 17, 0.3530584953079246, 0.00031795321159715884,  0.07905712841253788, 0.08139534883720931, 4.794527755853722
4, 42, 36, 0.5025517320599288, 0.0047139533354935495,  0.04298418972332018, 0.09090909090909091, 4.662960122699387
5, 0, 13, 0.0, 0.0,  0.10027836691410394, 0.0, 3.328638497652582
6, 84, 72, 0.6244392790147623, 0.024246249594556984,  0.005434782608695651, 0.0, 1.0
7, 13, 17, 0.43467461500248383, 1.1072543919648433e-05,  0.0675287356321839, 0.40229885057471265, 10.185159306875349
8, 58, 51, 0.5451131165340596, 0.00691485529443424,  0.014293478260869564, 0.01, 2.0921787709497206
9, 57, 41, 0.5433432687531048, 0.003928769892711404,  0.010490394337714865, 0.0, 1.4939759036144578
10, 30, 19, 0.4661552277881791, 0.00018453545040759896,  0.02643795289855073, 0.010416666666666666, 2.04
11, 10, 20, 0.44745916250255685, 0.0003107142167213329,  0.10898942420681551, 0.20270270270270271, 3.6853088480801337
12, 28, 30, 0.4822758696713437, 0.0008920592259249881,  0.045031055900621134, 0.0, 2.203931203931204
13, 8, 21, 0.4152598679304126, 0.00017641844562700997,  0.07823403113258186, 0.024691358024691357, 2.177327935222672
14, 7, 8, 0.39562583162164605, 0.0,  0.04383116883116882, 0.0, 1.9839572192513368
15, 70, 59, 0.5750849717386813, 0.017974898243512682,  0.005434782608695652, 0.0, 1.0
16, 24, 17, 0.47407854610752487, 0.00042259120032772706,  0.016602962255136165, 0.0, 1.700374531835206
17, 22, 15, 0.4754253601589667, 0.0005666339781649428,  0.024236192714453583, 0.0, 2.3507306889352817
18, 42, 33, 0.5363773294101163, 0.014806649407584272,  0.032429526994744384, 0.12087912087912088, 11.15154085383093
19, 7, 8, 0.39562583162164605, 2.6929124566853596e-05,  0.04328644501278772, 0.0, 1.9817578772802653
