Node, InDeg, OutDeg, CloseCent, BetwnCent
0, 14, 21, 0.42582627678360374, 0.0006600894360931457
1, 16, 21, 0.4392381280208826, 0.0007869762577420499
2, 8, 13, 0.3530584953079246, 7.47354685478684e-06
3, 8, 17, 0.3530584953079246, 0.00031795321159715884
4, 42, 36, 0.5025517320599288, 0.0047139533354935495
5, 0, 13, 0.0, 0.0
6, 84, 72, 0.6244392790147623, 0.024246249594556984
7, 13, 17, 0.43467461500248383, 1.1072543919648433e-05
8, 58, 51, 0.5451131165340596, 0.00691485529443424
9, 57, 41, 0.5433432687531048, 0.003928769892711404
10, 30, 19, 0.4661552277881791, 0.00018453545040759896
11, 10, 20, 0.44745916250255685, 0.0003107142167213329
12, 28, 30, 0.4822758696713437, 0.0008920592259249881
13, 8, 21, 0.4152598679304126, 0.00017641844562700997
14, 7, 8, 0.39562583162164605, 0.0
15, 70, 59, 0.5750849717386813, 0.017974898243512682
16, 24, 17, 0.47407854610752487, 0.00042259120032772706
17, 22, 15, 0.4754253601589667, 0.0005666339781649428
18, 42, 33, 0.5363773294101163, 0.014806649407584272
19, 7, 8, 0.39562583162164605, 2.6929124566853596e-05
20, 33, 13, 0.5149222362337116, 0.006836434900532547
21, 13, 26, 0.4687667416693453, 0.0015916647124235646
22, 1, 1, 0.3450509830432088, 0.0
23, 1, 1, 0.3450509830432088, 0.0
24, 79, 54, 0.61300266218299, 0.0162540785223247
25, 1, 8, 0.36144649411653623, 0.0
26, 20, 24, 0.4486587849221348, 7.715320226166434e-05
27, 1, 5, 0.36144649411653623, 0.0
28, 91, 69, 0.6339004802119556, 0.026865485125927673
29, 31, 14, 0.4879000780640125, 0.00036600175759641016
30, 40, 32, 0.5025517320599288, 0.001480460115460797
31, 71, 65, 0.5770680233653664, 0.016841000925849094
32, 3, 3, 0.37776462026175234, 0.0
33, 1, 0, 0.3632355355425784, 0.0
34, 46, 47, 0.518110609213487, 0.003054896957921929
35, 72, 58, 0.5731155026573844, 0.013153583165204184
36, 11, 6, 0.42800441630679353, 0.0
37, 4, 5, 0.4052051495785866, 0.0
38, 8, 16, 0.4572396906446893, 7.010852865726212e-05
39, 27, 17, 0.5071203841695644, 0.0004011421030833893
40, 53, 23, 0.5415848762975932, 0.0016410052237787194
41, 2, 0, 0.3720170539842671, 0.0
42, 30, 31, 0.5025517320599288, 0.001613230344975076
43, 10, 19, 0.4522965588539359, 0.00022974631980082053
44, 77, 61, 0.5976775956284153, 0.019694835740012927
45, 77, 59, 0.5976775956284153, 0.018618077174109973
46, 88, 57, 0.6291343111878056, 0.018038558380071318
47, 2, 25, 0.37522360263667326, 0.0002684239420647901
48, 0, 13, 0.0, 0.0
49, 2, 11, 0.376066801743722, 0.00015546047608958077
50, 2, 17, 0.376066801743722, 0.0002596700642921861
51, 2, 10, 0.37522360263667326, 0.00013170902024874415
52, 59, 24, 0.5523093292935851, 0.003202752457523385
53, 82, 41, 0.6152563484410157, 0.009295079597094582
54, 26, 46, 0.47008350217965245, 0.0012140203197293488
55, 89, 78, 0.6363107481975524, 0.03429998978780912
56, 4, 12, 0.3873836267961951, 5.86650792622204e-05
57, 39, 27, 0.5165115023949267, 0.009116526817914906
58, 39, 54, 0.5346636638209467, 0.005683145410551766
59, 79, 69, 0.61300266218299, 0.0545030775349674
60, 20, 27, 0.4795121111058919, 0.0003949824911023488
