Node, InDeg, OutDeg, CloseCent, BetwnCent
0, 77, 139, 0.6098265895953757, 0.004141713680504889
1, 69, 61, 0.596045197740113, 0.0016518083665994227
2, 75, 82, 0.6063218390804598, 0.0024419347498083866
3, 78, 35, 0.6115942028985507, 0.0010805333760299065
4, 75, 29, 0.6080691642651297, 0.0008054029626311371
5, 98, 45, 0.6492307692307693, 0.0018557662585020993
6, 86, 109, 0.6279761904761905, 0.004739619315726855
7, 98, 86, 0.6492307692307693, 0.00392946625790525
8, 64, 69, 0.5877437325905293, 0.0021084765369377154
9, 81, 44, 0.6187683284457478, 0.0015269240991174137
10, 84, 20, 0.6242603550295858, 0.0009783229392531347
11, 87, 181, 0.6279761904761905, 0.008491812257201676
12, 72, 48, 0.6028571428571429, 0.0014557129040580934
13, 89, 62, 0.6317365269461078, 0.0028624030882851664
14, 72, 37, 0.6011396011396012, 0.0009347588127594602
15, 68, 37, 0.596045197740113, 0.001111077015000624
16, 61, 144, 0.5828729281767956, 0.0036035190979912366
17, 70, 53, 0.5977337110481586, 0.0015827940075597384
18, 76, 150, 0.6063218390804598, 0.005776280390232708
19, 74, 57, 0.6045845272206304, 0.0021196006109446175
20, 98, 88, 0.6492307692307693, 0.004776816813267506
21, 82, 59, 0.6205882352941177, 0.0027045654604664323
22, 90, 84, 0.6355421686746988, 0.004177353699286061
23, 79, 51, 0.6151603498542274, 0.0018984967513557334
24, 58, 76, 0.5765027322404371, 0.0019492747801359586
25, 75, 44, 0.6063218390804598, 0.0013046940474412763
26, 92, 89, 0.6393939393939394, 0.006133218159942248
27, 101, 94, 0.65527950310559, 0.005289114881799736
28, 79, 43, 0.6133720930232558, 0.0013427098414606489
29, 98, 120, 0.6492307692307693, 0.005696505287361103
30, 77, 113, 0.6115942028985507, 0.004729392870202424
31, 93, 24, 0.6393939393939394, 0.0009330268626740958
32, 102, 69, 0.6573208722741433, 0.003031925160842168
33, 80, 44, 0.6151603498542274, 0.0013489779704079473
34, 91, 32, 0.6374622356495468, 0.001125508823925813
35, 79, 114, 0.6133720930232558, 0.004895809749388679
36, 100, 84, 0.653250773993808, 0.004149458225371819
37, 72, 67, 0.6011396011396012, 0.001786619938939346
38, 100, 111, 0.653250773993808, 0.006843700628780313
39, 87, 78, 0.6279761904761905, 0.002965120180461005
