Node, InDeg, OutDeg, CloseCent, BetwnCent,  Influence, Redundancy, AvgDeathAge
0, 34, 19, 0.6164383561643836, 0.0021238845012342055,  0.012002560546249865, 0.0, 1.0848214285714286
1, 0, 14, 0.0, 0.0,  0.1261487050960735, 0.0, 2.001064395955295
2, 0, 12, 0.0, 0.0,  0.12011517893870831, 0.0, 2.030800821355236
3, 35, 15, 0.6206896551724138, 0.0010071091218641524,  0.011925574425574426, 0.0, 1.0789473684210527
4, 0, 10, 0.0, 0.0,  0.10540069686411149, 0.0, 2.0496644295302016
5, 0, 28, 0.0, 0.0,  0.2713343799058084, 0.017142857142857144, 2.0178111085071477
6, 0, 14, 0.0, 0.0,  0.14146171289028434, 0.0, 2.059092800665834
7, 57, 17, 0.7317073170731707, 0.003612299621540342,  0.01098901098901099, 0.0, 1.0
8, 66, 24, 0.7894736842105263, 0.006995577759259295,  0.01098901098901099, 0.0, 1.0
9, 46, 25, 0.6716417910447762, 0.005437058104752299,  0.01098901098901099, 0.0, 1.0
10, 64, 25, 0.7758620689655172, 0.007228298790241215,  0.010989010989010988, 0.0, 1.0
11, 0, 24, 0.0, 0.0,  0.20677160677160672, 0.0, 2.0225890529973936
12, 0, 21, 0.0, 0.0,  0.20220841959972397, 0.0, 2.0108166576527853
13, 0, 19, 0.0, 0.0,  0.18766861880634336, 0.0, 2.0043779642466255
14, 0, 25, 0.0, 0.0,  0.22672382562492444, 0.005494505494505495, 2.077975729408727
15, 59, 17, 0.743801652892562, 0.004768461381015174,  0.01098901098901099, 0.0, 1.0
16, 61, 13, 0.7563025210084033, 0.003394538433636809,  0.01098901098901099, 0.0, 1.0
17, 0, 15, 0.0, 0.0,  0.15433728282890294, 0.0, 2.00419991600168
18, 0, 27, 0.0, 0.0,  0.25871479513863616, 0.039735099337748346, 2.0406639004149376
19, 0, 14, 0.0, 0.0,  0.14027538726333907, 0.0, 2.038104543234001
20, 0, 19, 0.0, 0.0,  0.18411302982731553, 0.0, 2.0182841068917017
21, 57, 17, 0.7317073170731707, 0.0038212433138403823,  0.010989010989010988, 0.0, 1.0
22, 0, 19, 0.0, 0.0,  0.18578296703296707, 0.0, 2.007362355953905
23, 0, 24, 0.0, 0.0,  0.23017523017523014, 0.0, 2.0289288506645815
24, 0, 20, 0.0, 0.0,  0.19355230404954163, 0.0, 2.021773935318604
25, 0, 21, 0.0, 0.0,  0.20615099186527758, 0.006493506493506494, 2.0131625755958735
26, 0, 25, 0.0, 0.0,  0.2502994635696057, 0.0, 2.0733481511416447
27, 0, 20, 0.0, 0.0,  0.18748473748473746, 0.0, 2.009075630252101
28, 0, 17, 0.0, 0.0,  0.17665959771222928, 0.0, 2.0323660714285716
29, 87, 21, 0.967741935483871, 0.00965545425102093,  0.010989010989010988, 0.0, 1.0
30, 0, 21, 0.0, 0.0,  0.20668553003882342, 0.0, 2.024342745861733
31, 0, 13, 0.0, 0.0,  0.13748473748473744, 0.0, 2.000953743443014
32, 0, 18, 0.0, 0.0,  0.18493701420530687, 0.0, 2.0757142857142856
33, 0, 18, 0.0, 0.0,  0.18700597647966066, 0.0, 2.0712328767123287
34, 34, 8, 0.6164383561643836, 0.0005313450261837095,  0.012035583464154892, 0.0, 1.0879120879120878
35, 0, 17, 0.0, 0.0,  0.1637885923600209, 0.0, 2.01105379513633
36, 0, 14, 0.0, 0.0,  0.1439424772758106, 0.0, 2.021782178217822
37, 80, 22, 0.9, 0.008163910397839157,  0.01098901098901099, 0.0, 1.0
38, 0, 7, 0.0, 0.0,  0.0715186452891371, 0.0, 1.9791073124406457
39, 60, 25, 0.75, 0.00858702080411024,  0.01098901098901099, 0.0, 1.0
40, 0, 19, 0.0, 0.0,  0.1955050599118396, 0.0, 2.0171277997364956
41, 0, 27, 0.0, 0.0,  0.24688265102772872, 0.07253886010362694, 2.084339995607292
42, 75, 21, 0.8571428571428571, 0.005788348626058179,  0.010989010989010988, 0.0, 1.0
43, 0, 21, 0.0, 0.0,  0.20934411500449235, 0.0, 2.024740889334671
44, 72, 20, 0.8333333333333334, 0.006464395460943377,  0.010989010989010988, 0.0, 1.0
45, 44, 15, 0.6617647058823529, 0.0020678172280734182,  0.01098901098901099, 0.0, 1.0
46, 0, 15, 0.0, 0.0,  0.1531670576614397, 0.0, 2.019797809604044
47, 34, 14, 0.6122448979591837, 0.0008805344907807772,  0.01098901098901099, 0.0, 1.0
48, 71, 17, 0.8256880733944955, 0.004805793039534374,  0.010989010989010988, 0.0, 1.0
49, 0, 21, 0.0, 0.0,  0.20283587380361573, 0.0, 2.015821646889608
50, 56, 17, 0.7258064516129032, 0.0023561378085848552,  0.01098901098901099, 0.0, 1.0
51, 0, 16, 0.0, 0.0,  0.15345601144417712, 0.0, 2.0
52, 0, 10, 0.0, 0.0,  0.11152935462327727, 0.0, 2.0809414466130884
53, 35, 16, 0.6122448979591837, 0.0024286133629258626,  0.011895321173671689, 0.0, 1.076555023923445
54, 0, 15, 0.0, 0.0,  0.14484930274403962, 0.0, 2.0574506283662477
55, 0, 24, 0.0, 0.0,  0.22710622710622708, 0.006535947712418301, 2.030524642289348
56, 0, 20, 0.0, 0.0,  0.18333033087131448, 0.0, 2.015187310158623
57, 0, 25, 0.0, 0.0,  0.23537195788504678, 0.05235602094240838, 2.047596268835207
58, 0, 20, 0.0, 0.0,  0.1925909142403988, 0.0, 2.038849347568209
59, 51, 20, 0.6976744186046512, 0.003080123633212962,  0.010989010989010986, 0.0, 1.0
60, 62, 20, 0.7627118644067796, 0.004017502003516762,  0.01098901098901099, 0.0, 1.0
61, 72, 22, 0.8333333333333334, 0.0096060219736995,  0.01098901098901099, 0.0, 1.0
62, 37, 14, 0.6206896551724138, 0.0015212482114680603,  0.01098901098901099, 0.0, 1.0
63, 61, 21, 0.7563025210084033, 0.005462660109887205,  0.010989010989010988, 0.0, 1.0
