Node, InDeg, OutDeg, CloseCent, BetwnCent,  Influence, Redundancy, AvgDeathAge
0, 34, 19, 0.6164383561643836, 0.0021238845012342055,  0.07814407814407814, 0.4444444444444444, 8.555555555555555
1, 0, 14, 0.0, 0.0,  0.0675039246467818, 0.14285714285714285, 6.285714285714286
2, 0, 12, 0.0, 0.0,  0.07448107448107448, 0.2222222222222222, 7.222222222222222
3, 35, 15, 0.6206896551724138, 0.0010071091218641524,  0.03453689167974882, 0.0, 3.2857142857142856
4, 0, 10, 0.0, 0.0,  0.06959706959706961, 0.16666666666666666, 7.0
5, 0, 28, 0.0, 0.0,  0.05994005994005994, 0.18181818181818182, 6.0
6, 0, 14, 0.0, 0.0,  0.07142857142857144, 0.08333333333333333, 7.0
7, 57, 17, 0.7317073170731707, 0.003612299621540342,  0.07142857142857142, 1.0, 7.5
8, 66, 24, 0.7894736842105263, 0.006995577759259295,  0.061813186813186816, 0.25, 6.375
9, 46, 25, 0.6716417910447762, 0.005437058104752299,  0.04615384615384615, 0.1, 4.4
10, 64, 25, 0.7758620689655172, 0.007228298790241215,  0.05337519623233909, 0.14285714285714285, 5.214285714285714
11, 0, 24, 0.0, 0.0,  0.08302808302808302, 0.1111111111111111, 8.666666666666666
12, 0, 21, 0.0, 0.0,  0.05808477237048665, 0.2857142857142857, 5.714285714285714
13, 0, 19, 0.0, 0.0,  0.07292707292707291, 0.18181818181818182, 7.636363636363637
14, 0, 25, 0.0, 0.0,  0.03626373626373626, 0.0, 3.3
15, 59, 17, 0.743801652892562, 0.004768461381015174,  0.0819180819180819, 0.2727272727272727, 9.0
16, 61, 13, 0.7563025210084033, 0.003394538433636809,  0.04395604395604395, 0.1, 4.3
17, 0, 15, 0.0, 0.0,  0.08424908424908424, 0.2222222222222222, 9.777777777777779
18, 0, 27, 0.0, 0.0,  0.04945054945054944, 0.08333333333333333, 4.833333333333333
19, 0, 14, 0.0, 0.0,  0.07142857142857142, 0.08333333333333333, 7.5
20, 0, 19, 0.0, 0.0,  0.07252747252747252, 0.0, 6.8
21, 57, 17, 0.7317073170731707, 0.0038212433138403823,  0.04212454212454212, 0.08333333333333333, 4.083333333333333
22, 0, 19, 0.0, 0.0,  0.05860805860805861, 0.1111111111111111, 5.666666666666667
23, 0, 24, 0.0, 0.0,  0.06593406593406594, 0.0, 6.545454545454546
24, 0, 20, 0.0, 0.0,  0.058608058608058615, 0.08333333333333333, 5.75
25, 0, 21, 0.0, 0.0,  0.058608058608058615, 0.0, 6.166666666666667
26, 0, 25, 0.0, 0.0,  0.06593406593406594, 1.0, 8.5
27, 0, 20, 0.0, 0.0,  0.05886970172684459, 0.42857142857142855, 6.214285714285714
28, 0, 17, 0.0, 0.0,  0.03956043956043956, 0.2, 3.8
29, 87, 21, 0.967741935483871, 0.00965545425102093,  0.059829059829059825, 0.3333333333333333, 6.666666666666667
30, 0, 21, 0.0, 0.0,  0.06677937447168217, 0.38461538461538464, 7.230769230769231
31, 0, 13, 0.0, 0.0,  0.06436420722135007, 0.0, 6.0
32, 0, 18, 0.0, 0.0,  0.09035409035409037, 0.7777777777777778, 10.222222222222221
33, 0, 18, 0.0, 0.0,  0.05494505494505494, 0.0, 5.0
34, 34, 8, 0.6164383561643836, 0.0005313450261837095,  0.055591467356173235, 0.058823529411764705, 5.529411764705882
35, 0, 17, 0.0, 0.0,  0.07592407592407592, 0.09090909090909091, 8.090909090909092
36, 0, 14, 0.0, 0.0,  0.0815018315018315, 0.4166666666666667, 9.0
37, 80, 22, 0.9, 0.008163910397839157,  0.07783882783882783, 0.25, 8.25
38, 0, 7, 0.0, 0.0,  0.0857142857142857, 1.2, 10.8
39, 60, 25, 0.75, 0.00858702080411024,  0.04495504495504496, 0.09090909090909091, 4.545454545454546
40, 0, 19, 0.0, 0.0,  0.048665620094191515, 0.14285714285714285, 4.714285714285714
41, 0, 27, 0.0, 0.0,  0.07081807081807082, 0.2222222222222222, 6.888888888888889
42, 75, 21, 0.8571428571428571, 0.005788348626058179,  0.1021978021978022, 0.3, 11.545454545454545
43, 0, 21, 0.0, 0.0,  0.06886446886446886, 0.0, 6.666666666666667
44, 72, 20, 0.8333333333333334, 0.006464395460943377,  0.05294705294705295, 0.18181818181818182, 5.363636363636363
45, 44, 15, 0.6617647058823529, 0.0020678172280734182,  0.04029304029304029, 0.13333333333333333, 4.333333333333333
46, 0, 15, 0.0, 0.0,  0.052590266875981166, 0.14285714285714285, 5.071428571428571
47, 34, 14, 0.6122448979591837, 0.0008805344907807772,  0.06373626373626373, 0.8, 9.0
48, 71, 17, 0.8256880733944955, 0.004805793039534374,  0.05054945054945055, 0.26666666666666666, 5.6
49, 0, 21, 0.0, 0.0,  0.07234432234432235, 0.08333333333333333, 7.083333333333333
50, 56, 17, 0.7258064516129032, 0.0023561378085848552,  0.04807692307692308, 0.125, 4.625
51, 0, 16, 0.0, 0.0,  0.0576923076923077, 0.25, 5.833333333333333
52, 0, 10, 0.0, 0.0,  0.051948051948051945, 0.09090909090909091, 4.909090909090909
53, 35, 16, 0.6122448979591837, 0.0024286133629258626,  0.06776556776556777, 0.4166666666666667, 7.5
54, 0, 15, 0.0, 0.0,  0.08302808302808301, 0.2222222222222222, 9.88888888888889
55, 0, 24, 0.0, 0.0,  0.06931530008453085, 0.07692307692307693, 6.769230769230769
56, 0, 20, 0.0, 0.0,  0.04945054945054945, 0.16666666666666666, 4.666666666666667
57, 0, 25, 0.0, 0.0,  0.06318681318681318, 0.375, 6.75
58, 0, 20, 0.0, 0.0,  0.07607776838546071, 0.07692307692307693, 7.538461538461538
59, 51, 20, 0.6976744186046512, 0.003080123633212962,  0.05894105894105895, 0.18181818181818182, 6.636363636363637
60, 62, 20, 0.7627118644067796, 0.004017502003516762,  0.05729984301412872, 0.5714285714285714, 6.142857142857143
61, 72, 22, 0.8333333333333334, 0.0096060219736995,  0.03610675039246467, 0.07142857142857142, 3.357142857142857
62, 37, 14, 0.6206896551724138, 0.0015212482114680603,  0.06959706959706959, 0.4166666666666667, 7.416666666666667
63, 61, 21, 0.7563025210084033, 0.005462660109887205,  0.05934065934065934, 0.2, 6.4
64, 0, 22, 0.0, 0.0,  0.061813186813186816, 0.125, 6.125
65, 59, 19, 0.743801652892562, 0.003400499344593273,  0.03296703296703297, 0.1, 3.1
66, 0, 18, 0.0, 0.0,  0.0507185122569738, 0.07692307692307693, 4.769230769230769
67, 0, 19, 0.0, 0.0,  0.07203907203907205, 0.0, 6.888888888888889
