Time of Death, Message ID, Age at Death, Place of Death, Place Before Death
2, 0, 3, 0, 3
2, 0, 3, 0, 8
2, 0, 3, 0, 10
2, 0, 3, 0, 15
2, 0, 3, 0, 16
2, 0, 3, 0, 21
2, 0, 3, 0, 34
2, 0, 3, 0, 37
2, 0, 3, 3, 0
2, 0, 3, 3, 8
2, 0, 3, 3, 10
2, 0, 3, 3, 15
2, 0, 3, 3, 16
2, 0, 3, 3, 21
2, 0, 3, 3, 34
2, 0, 3, 3, 39
2, 0, 3, 3, 42
2, 0, 3, 3, 44
2, 0, 3, 7, 0
2, 0, 3, 7, 3
2, 0, 3, 7, 8
2, 0, 3, 7, 10
2, 0, 3, 7, 15
2, 0, 3, 7, 16
2, 0, 3, 7, 21
2, 0, 3, 7, 34
2, 0, 3, 7, 37
2, 0, 3, 7, 39
2, 0, 3, 7, 42
2, 0, 3, 7, 48
2, 0, 3, 7, 59
2, 0, 3, 7, 60
2, 0, 3, 7, 61
2, 0, 3, 7, 63
2, 0, 3, 7, 65
2, 0, 3, 7, 73
2, 0, 3, 8, 0
2, 0, 3, 8, 3
2, 0, 3, 8, 10
2, 0, 3, 8, 15
2, 0, 3, 8, 16
2, 0, 3, 8, 21
2, 0, 3, 8, 37
2, 0, 3, 8, 39
2, 0, 3, 8, 42
2, 0, 3, 8, 44
2, 0, 3, 8, 50
2, 0, 3, 8, 59
2, 0, 3, 8, 60
2, 0, 3, 8, 63
2, 0, 3, 8, 65
2, 1, 2, 8, 67
2, 0, 3, 8, 73
2, 0, 3, 8, 81
2, 2, 1, 8, 8
2, 0, 3, 9, 8
2, 0, 3, 9, 10
2, 0, 3, 9, 15
2, 0, 3, 9, 21
2, 0, 3, 9, 37
2, 0, 3, 9, 42
2, 0, 3, 9, 50
2, 0, 3, 9, 60
2, 0, 3, 9, 63
2, 0, 3, 9, 65
2, 0, 3, 9, 73
2, 0, 3, 9, 81
2, 0, 3, 10, 0
2, 0, 3, 10, 3
2, 0, 3, 10, 8
2, 0, 3, 10, 15
2, 0, 3, 10, 16
2, 0, 3, 10, 21
2, 0, 3, 10, 37
2, 0, 3, 10, 39
2, 0, 3, 10, 42
2, 0, 3, 10, 48
2, 0, 3, 10, 50
2, 0, 3, 10, 60
2, 0, 3, 10, 61
2, 0, 3, 10, 63
2, 0, 3, 10, 65
2, 0, 3, 10, 73
2, 0, 3, 10, 81
2, 0, 3, 15, 0
2, 0, 3, 15, 3
2, 0, 3, 15, 8
2, 0, 3, 15, 10
2, 0, 3, 15, 16
2, 0, 3, 15, 21
2, 0, 3, 15, 34
2, 0, 3, 15, 37
2, 0, 3, 15, 39
2, 0, 3, 15, 42
2, 0, 3, 15, 44
2, 0, 3, 15, 50
2, 0, 3, 15, 59
2, 0, 3, 15, 61
2, 0, 3, 16, 0
2, 0, 3, 16, 3
2, 0, 3, 16, 8
2, 0, 3, 16, 10
2, 0, 3, 16, 15
2, 0, 3, 16, 21
2, 0, 3, 16, 39
2, 0, 3, 16, 42
2, 0, 3, 16, 44
2, 0, 3, 16, 48
2, 0, 3, 16, 50
2, 0, 3, 16, 59
2, 0, 3, 16, 60
2, 0, 3, 16, 61
2, 0, 3, 16, 63
2, 0, 3, 16, 65
2, 1, 2, 16, 67
2, 0, 3, 21, 0
2, 0, 3, 21, 3
2, 0, 3, 21, 8
2, 0, 3, 21, 10
2, 0, 3, 21, 15
2, 0, 3, 21, 16
2, 0, 3, 21, 37
2, 0, 3, 21, 39
2, 0, 3, 21, 44
2, 0, 3, 21, 50
2, 0, 3, 21, 61
2, 0, 3, 21, 63
2, 1, 2, 21, 67
2, 0, 3, 29, 0
2, 0, 3, 29, 3
2, 0, 3, 29, 8
2, 0, 3, 29, 10
2, 0, 3, 29, 15
2, 0, 3, 29, 16
2, 0, 3, 29, 21
2, 0, 3, 29, 34
2, 0, 3, 29, 37
2, 0, 3, 29, 39
2, 0, 3, 29, 42
2, 0, 3, 29, 44
2, 0, 3, 29, 48
2, 0, 3, 29, 50
2, 0, 3, 29, 59
2, 0, 3, 29, 60
2, 0, 3, 29, 61
2, 0, 3, 29, 63
2, 0, 3, 29, 65
2, 1, 2, 29, 67
2, 0, 3, 29, 73
2, 0, 3, 29, 81
2, 0, 3, 34, 0
2, 0, 3, 34, 3
2, 0, 3, 34, 8
2, 0, 3, 34, 10
2, 0, 3, 34, 15
2, 0, 3, 34, 16
2, 0, 3, 34, 21
2, 0, 3, 37, 0
2, 0, 3, 37, 3
2, 0, 3, 37, 8
2, 0, 3, 37, 10
2, 0, 3, 37, 15
2, 0, 3, 37, 21
2, 0, 3, 37, 39
2, 0, 3, 37, 42
2, 0, 3, 37, 44
2, 0, 3, 37, 48
2, 0, 3, 37, 50
2, 0, 3, 37, 59
2, 0, 3, 37, 60
2, 0, 3, 37, 61
2, 0, 3, 37, 63
2, 0, 3, 37, 65
2, 1, 2, 37, 67
2, 0, 3, 37, 73
2, 0, 3, 37, 81
2, 0, 3, 39, 0
2, 0, 3, 39, 3
2, 0, 3, 39, 8
2, 0, 3, 39, 10
2, 0, 3, 39, 15
2, 0, 3, 39, 16
2, 0, 3, 39, 21
2, 0, 3, 39, 34
2, 0, 3, 39, 37
2, 0, 3, 39, 42
2, 0, 3, 39, 44
2, 0, 3, 39, 48
2, 0, 3, 39, 59
2, 0, 3, 39, 60
2, 0, 3, 39, 61
2, 0, 3, 39, 63
2, 0, 3, 39, 65
2, 0, 3, 42, 0
2, 0, 3, 42, 3
2, 0, 3, 42, 8
2, 0, 3, 42, 10
2, 0, 3, 42, 15
2, 0, 3, 42, 16
2, 0, 3, 42, 37
2, 0, 3, 42, 39
2, 0, 3, 42, 44
2, 0, 3, 42, 48
2, 0, 3, 42, 50
2, 0, 3, 42, 59
2, 0, 3, 42, 60
2, 0, 3, 42, 61
2, 0, 3, 42, 63
2, 0, 3, 42, 65
2, 1, 2, 42, 67
2, 0, 3, 42, 73
2, 0, 3, 42, 81
2, 0, 3, 44, 8
2, 0, 3, 44, 10
2, 0, 3, 44, 21
2, 0, 3, 44, 37
2, 0, 3, 44, 39
2, 0, 3, 44, 42
2, 0, 3, 44, 48
2, 0, 3, 44, 50
2, 0, 3, 44, 59
2, 0, 3, 44, 60
2, 0, 3, 44, 61
2, 0, 3, 44, 63
2, 0, 3, 44, 65
2, 1, 2, 44, 67
2, 0, 3, 44, 73
2, 0, 3, 44, 81
2, 0, 3, 45, 0
2, 0, 3, 45, 8
2, 0, 3, 45, 10
2, 0, 3, 45, 15
2, 0, 3, 45, 37
2, 0, 3, 45, 39
2, 0, 3, 45, 42
2, 0, 3, 45, 44
2, 0, 3, 45, 48
2, 0, 3, 45, 59
2, 0, 3, 45, 61
2, 1, 2, 45, 67
2, 0, 3, 45, 73
2, 0, 3, 47, 39
2, 0, 3, 47, 48
2, 0, 3, 47, 59
2, 0, 3, 47, 60
2, 0, 3, 47, 61
2, 0, 3, 47, 63
2, 0, 3, 48, 0
2, 0, 3, 48, 3
2, 0, 3, 48, 8
2, 0, 3, 48, 10
2, 0, 3, 48, 15
2, 0, 3, 48, 21
2, 0, 3, 48, 34
2, 0, 3, 48, 37
2, 0, 3, 48, 39
2, 0, 3, 48, 42
2, 0, 3, 48, 44
2, 0, 3, 48, 50
2, 0, 3, 48, 59
2, 0, 3, 48, 60
2, 0, 3, 48, 61
2, 0, 3, 48, 63
2, 0, 3, 48, 65
2, 1, 2, 48, 67
2, 0, 3, 48, 73
2, 0, 3, 50, 0
2, 0, 3, 50, 3
2, 0, 3, 50, 8
2, 0, 3, 50, 10
2, 0, 3, 50, 37
2, 0, 3, 50, 39
2, 0, 3, 50, 42
2, 0, 3, 50, 48
2, 0, 3, 50, 60
2, 0, 3, 50, 63
2, 0, 3, 50, 65
2, 0, 3, 50, 73
2, 0, 3, 50, 81
2, 0, 3, 53, 39
2, 0, 3, 53, 44
2, 0, 3, 53, 61
2, 0, 3, 53, 63
2, 1, 2, 53, 67
2, 0, 3, 53, 73
2, 0, 3, 59, 8
2, 0, 3, 59, 10
2, 0, 3, 59, 15
2, 0, 3, 59, 37
2, 0, 3, 59, 39
2, 0, 3, 59, 42
2, 0, 3, 59, 44
2, 0, 3, 59, 48
2, 0, 3, 59, 50
2, 0, 3, 59, 60
2, 0, 3, 59, 61
2, 0, 3, 59, 65
2, 1, 2, 59, 67
2, 0, 3, 59, 73
2, 0, 3, 60, 0
2, 0, 3, 60, 8
2, 0, 3, 60, 10
2, 0, 3, 60, 16
2, 0, 3, 60, 37
2, 0, 3, 60, 39
2, 0, 3, 60, 42
2, 0, 3, 60, 44
2, 0, 3, 60, 48
2, 0, 3, 60, 50
2, 0, 3, 60, 59
2, 0, 3, 60, 61
2, 0, 3, 60, 63
2, 0, 3, 60, 65
2, 1, 2, 60, 67
2, 0, 3, 60, 73
2, 0, 3, 60, 81
2, 0, 3, 61, 0
2, 0, 3, 61, 8
2, 0, 3, 61, 10
2, 0, 3, 61, 21
2, 0, 3, 61, 34
2, 0, 3, 61, 37
2, 0, 3, 61, 39
2, 0, 3, 61, 42
2, 0, 3, 61, 44
2, 0, 3, 61, 48
2, 0, 3, 61, 50
2, 0, 3, 61, 59
2, 0, 3, 61, 60
2, 0, 3, 61, 63
2, 0, 3, 61, 65
2, 1, 2, 61, 67
2, 0, 3, 61, 73
2, 0, 3, 61, 81
2, 0, 3, 62, 39
2, 0, 3, 62, 44
2, 0, 3, 62, 59
2, 0, 3, 62, 61
2, 0, 3, 62, 63
2, 1, 2, 62, 67
2, 0, 3, 62, 73
2, 0, 3, 63, 0
2, 0, 3, 63, 8
2, 0, 3, 63, 10
2, 0, 3, 63, 15
2, 0, 3, 63, 16
2, 0, 3, 63, 21
2, 0, 3, 63, 37
2, 0, 3, 63, 39
2, 0, 3, 63, 42
2, 0, 3, 63, 44
2, 0, 3, 63, 48
2, 0, 3, 63, 50
2, 0, 3, 63, 59
2, 0, 3, 63, 60
2, 0, 3, 63, 61
2, 0, 3, 63, 65
2, 1, 2, 63, 67
2, 0, 3, 63, 73
2, 0, 3, 63, 81
2, 0, 3, 65, 3
2, 0, 3, 65, 8
2, 0, 3, 65, 10
2, 0, 3, 65, 37
2, 0, 3, 65, 39
2, 0, 3, 65, 42
2, 0, 3, 65, 44
2, 0, 3, 65, 48
2, 0, 3, 65, 50
2, 0, 3, 65, 59
2, 0, 3, 65, 60
2, 0, 3, 65, 61
2, 0, 3, 65, 63
2, 1, 2, 65, 67
2, 0, 3, 65, 73
2, 0, 3, 65, 81
2, 0, 3, 73, 8
2, 0, 3, 73, 10
2, 0, 3, 73, 37
2, 0, 3, 73, 39
2, 0, 3, 73, 42
2, 0, 3, 73, 44
2, 0, 3, 73, 48
2, 0, 3, 73, 59
2, 0, 3, 73, 60
2, 0, 3, 73, 61
2, 0, 3, 73, 63
2, 0, 3, 73, 65
2, 1, 2, 73, 67
2, 0, 3, 73, 81
2, 0, 3, 77, 10
2, 0, 3, 77, 37
2, 0, 3, 77, 39
2, 0, 3, 77, 59
2, 0, 3, 77, 60
2, 0, 3, 77, 61
2, 0, 3, 77, 65
2, 1, 2, 77, 67
2, 0, 3, 77, 73
2, 0, 3, 81, 0
2, 0, 3, 81, 8
2, 0, 3, 81, 10
2, 0, 3, 81, 21
2, 0, 3, 81, 37
2, 0, 3, 81, 39
2, 0, 3, 81, 42
2, 0, 3, 81, 44
2, 0, 3, 81, 50
2, 0, 3, 81, 59
2, 0, 3, 81, 60
2, 0, 3, 81, 61
2, 0, 3, 81, 63
2, 0, 3, 81, 65
2, 1, 2, 81, 67
2, 0, 3, 81, 73
5, 3, 3, 0, 3
5, 3, 3, 0, 8
5, 3, 3, 0, 10
5, 3, 3, 0, 15
5, 3, 3, 0, 16
5, 3, 3, 0, 21
5, 3, 3, 0, 29
5, 3, 3, 0, 34
5, 3, 3, 0, 37
5, 3, 3, 3, 0
5, 3, 3, 3, 8
5, 3, 3, 3, 10
5, 3, 3, 3, 15
5, 3, 3, 3, 16
5, 3, 3, 3, 21
5, 3, 3, 3, 29
5, 3, 3, 3, 34
5, 3, 3, 3, 39
5, 3, 3, 3, 42
5, 3, 3, 7, 0
5, 3, 3, 7, 3
5, 3, 3, 7, 8
5, 3, 3, 7, 10
5, 3, 3, 7, 15
5, 3, 3, 7, 16
5, 3, 3, 7, 21
5, 3, 3, 7, 34
5, 3, 3, 7, 37
5, 3, 3, 7, 39
5, 3, 3, 7, 42
5, 3, 3, 7, 48
5, 4, 2, 7, 61
5, 3, 3, 7, 63
5, 3, 3, 7, 65
5, 3, 3, 8, 0
5, 3, 3, 8, 3
5, 3, 3, 8, 10
5, 3, 3, 8, 15
5, 3, 3, 8, 16
5, 3, 3, 8, 21
5, 3, 3, 8, 29
5, 3, 3, 8, 37
5, 3, 3, 8, 39
5, 3, 3, 8, 42
5, 3, 3, 8, 50
5, 3, 3, 8, 63
5, 3, 3, 8, 65
5, 3, 3, 8, 81
5, 3, 3, 9, 8
5, 3, 3, 9, 10
5, 3, 3, 9, 15
5, 3, 3, 9, 21
5, 3, 3, 9, 37
5, 3, 3, 9, 42
5, 3, 3, 9, 50
5, 3, 3, 9, 63
5, 3, 3, 9, 65
5, 3, 3, 9, 81
5, 3, 3, 10, 0
5, 3, 3, 10, 3
5, 3, 3, 10, 8
5, 3, 3, 10, 15
5, 3, 3, 10, 16
5, 3, 3, 10, 21
5, 3, 3, 10, 29
5, 3, 3, 10, 37
5, 3, 3, 10, 39
5, 3, 3, 10, 42
5, 3, 3, 10, 48
5, 3, 3, 10, 50
5, 4, 2, 10, 61
5, 3, 3, 10, 63
5, 3, 3, 10, 65
5, 3, 3, 10, 81
5, 3, 3, 15, 0
5, 3, 3, 15, 3
5, 3, 3, 15, 8
5, 3, 3, 15, 10
5, 3, 3, 15, 16
5, 3, 3, 15, 21
5, 3, 3, 15, 29
5, 3, 3, 15, 34
5, 3, 3, 15, 37
5, 3, 3, 15, 39
5, 3, 3, 15, 42
5, 3, 3, 15, 50
5, 4, 2, 15, 61
5, 3, 3, 16, 0
5, 3, 3, 16, 3
5, 3, 3, 16, 8
5, 3, 3, 16, 10
5, 3, 3, 16, 15
5, 3, 3, 16, 21
5, 3, 3, 16, 29
5, 3, 3, 16, 39
5, 3, 3, 16, 42
5, 3, 3, 16, 48
5, 3, 3, 16, 50
5, 4, 2, 16, 61
5, 3, 3, 16, 63
5, 3, 3, 16, 65
5, 3, 3, 21, 0
5, 3, 3, 21, 3
5, 3, 3, 21, 8
5, 3, 3, 21, 10
5, 3, 3, 21, 15
5, 3, 3, 21, 16
5, 3, 3, 21, 29
5, 3, 3, 21, 37
5, 3, 3, 21, 39
5, 3, 3, 21, 50
5, 4, 2, 21, 61
5, 3, 3, 21, 63
5, 3, 3, 29, 0
5, 3, 3, 29, 3
5, 3, 3, 29, 8
5, 3, 3, 29, 10
5, 3, 3, 29, 15
5, 3, 3, 29, 16
5, 3, 3, 29, 21
5, 3, 3, 29, 34
5, 3, 3, 29, 37
5, 3, 3, 29, 39
5, 3, 3, 29, 42
5, 3, 3, 29, 48
5, 3, 3, 29, 50
5, 4, 2, 29, 61
5, 3, 3, 29, 63
5, 3, 3, 29, 65
5, 3, 3, 29, 81
5, 3, 3, 34, 0
5, 3, 3, 34, 3
5, 3, 3, 34, 8
5, 3, 3, 34, 10
5, 3, 3, 34, 15
5, 3, 3, 34, 16
5, 3, 3, 34, 21
5, 3, 3, 34, 29
5, 3, 3, 37, 0
5, 3, 3, 37, 3
5, 3, 3, 37, 8
5, 3, 3, 37, 10
5, 3, 3, 37, 15
5, 3, 3, 37, 21
5, 3, 3, 37, 29
5, 3, 3, 37, 39
5, 3, 3, 37, 42
5, 3, 3, 37, 48
5, 3, 3, 37, 50
5, 4, 2, 37, 61
5, 3, 3, 37, 63
5, 3, 3, 37, 65
5, 3, 3, 37, 81
5, 3, 3, 39, 0
5, 3, 3, 39, 3
5, 3, 3, 39, 8
