Time, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90
0, 0, None, None, None, None, None, None, None, None, None, None, 1, None, None, None, None, None, None, None, None, None, None, None, None, 2, None, None, None, None, None, None, None, 3, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 4, None, None, None, None, 5, None, None, None, None, None, None, None, 6, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 7, None, None, None, None, None, None, None, None, 8, None
1, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 9, None, None, None, 10, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 14, None, None, None, None, None, None, 16, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 17, None, None, None, None, None, None, None, None, None, None, None, None
2, None, None, None, None, None, None, 18, None, None, None, None, None, None, None, None, None, None, None, None, None, 20, None, None, None, None, None, None, None, None, None, None, None, None, 21, None, None, None, None, None, None, None, None, None, 22, None, None, None, None, None, None, None, None, 24, None, 26, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 17, None, None, None, None, None, None, None, None, None, None, None, None, None
3, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 27, None, None, None, None, None, None, None, 28, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 31, None, None, None, None, None, None, None, None, None, None, None, 32, None, None, None, None, None, 33, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 35, None, None, None, None, None, None, None, None
4, None, None, None, 27, None, None, None, None, None, None, None, 36, None, None, None, None, None, None, None, None, 37, None, None, None, 38, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 39, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 40, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 43, None, None, None, None, None, None, None, None, None, None, None, None, 44, None, None, None, None, None, None, None
5, None, None, None, None, None, None, None, None, None, None, None, None, None, 46, None, None, None, 47, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 51, None, None, None, None, None, None, None, None, None, None, None, None, None, None
6, None, None, None, None, None, None, 54, None, None, 51, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 57, None, None, None, None, 58, None, None, None, None, None, None, None, 60, None, None, None, None, 61, 51, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 62
7, None, None, 63, None, None, None, None, None, None, 51, None, None, None, 64, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 66, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 69, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 71, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
8, None, None, None, None, None, None, None, None, None, 69, None, 72, None, None, None, None, None, None, None, None, None, None, None, 73, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 76, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 77, None, None, 66, None, None, 78, None, None, None, 79, None, 80, None, None, None, None
9, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 82, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 84, 85, None, None, None, 86, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 87, None, 88, 89, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
