Time of Death, Message ID, Age at Death, Place of Death, Place Before Death
5, 0, 6, 15, 19
5, 3, 3, 15, 30
5, 4, 2, 15, 74
12, 8, 5, 65, 57
12, 1, 12, 65, 74
14, 12, 3, 50, 81
14, 9, 6, 50, 88
15, 11, 5, 62, 5
15, 7, 9, 62, 16
16, 6, 11, 10, 28
16, 15, 2, 10, 49
18, 17, 2, 34, 61
18, 18, 1, 34, 34
21, 14, 8, 81, 12
21, 20, 2, 81, 80
23, 13, 11, 2, 10
23, 21, 3, 2, 29
26, 25, 2, 37, 30
26, 19, 8, 37, 74
28, 16, 13, 13, 10
28, 5, 24, 13, 16
30, 28, 3, 48, 9
30, 23, 8, 48, 57
31, 2, 30, 37, 53
31, 26, 6, 37, 71
34, 10, 25, 29, 7
34, 22, 13, 29, 61
36, 27, 10, 48, 10
36, 24, 13, 48, 15
37, 31, 7, 44, 60
37, 34, 4, 44, 69
38, 37, 2, 39, 5
38, 30, 9, 39, 47
42, 33, 10, 21, 72
42, 42, 1, 21, 21
42, 41, 2, 63, 17
42, 32, 11, 63, 29
47, 39, 9, 65, 3
47, 36, 12, 65, 56
49, 48, 2, 7, 2
49, 47, 3, 7, 5
49, 38, 12, 8, 25
49, 40, 10, 8, 85
52, 49, 4, 8, 12
52, 35, 18, 8, 34
52, 29, 24, 8, 45
56, 44, 13, 73, 22
56, 55, 2, 73, 54
57, 54, 4, 15, 36
57, 57, 1, 15, 15
58, 52, 7, 81, 43
58, 50, 9, 81, 55
62, 58, 5, 39, 55
62, 46, 17, 39, 62
63, 61, 3, 16, 42
63, 56, 8, 16, 68
66, 64, 3, 41, 16
66, 45, 22, 41, 62
66, 51, 16, 62, 5
66, 63, 4, 62, 77
68, 53, 16, 37, 29
68, 65, 4, 37, 72
68, 60, 9, 50, 21
68, 67, 2, 50, 84
69, 68, 2, 37, 71
69, 43, 27, 37, 81
72, 69, 4, 32, 42
72, 66, 7, 32, 47
75, 74, 2, 65, 19
75, 70, 6, 65, 31
79, 72, 8, 63, 10
79, 62, 18, 63, 18
81, 78, 4, 8, 74
81, 59, 23, 8, 89
82, 71, 12, 51, 10
82, 76, 7, 51, 81
84, 73, 12, 15, 5
84, 79, 6, 15, 33
86, 83, 4, 10, 23
86, 75, 12, 10, 32
88, 82, 7, 60, 73
88, 88, 1, 60, 60
90, 87, 4, 19, 3
90, 85, 6, 19, 21
91, 84, 8, 15, 80
91, 90, 2, 15, 88
94, 89, 6, 24, 21
94, 81, 14, 24, 29
96, 77, 20, 3, 14
96, 91, 6, 3, 19
101, 98, 4, 13, 0
101, 96, 6, 13, 29
102, 101, 2, 7, 41
102, 80, 23, 7, 70
102, 100, 3, 7, 82
103, 92, 12, 10, 0
103, 102, 2, 10, 31
103, 95, 9, 48, 9
103, 93, 11, 48, 86
107, 94, 14, 47, 52
107, 86, 22, 47, 55
111, 108, 4, 7, 15
111, 103, 9, 7, 25
112, 105, 8, 50, 14
112, 106, 7, 50, 84
114, 113, 2, 61, 38
114, 112, 3, 61, 66
114, 104, 11, 81, 39
114, 111, 4, 81, 79
117, 110, 8, 14, 59
117, 117, 1, 14, 14
117, 97, 21, 59, 45
117, 109, 9, 59, 83
119, 115, 5, 42, 37
119, 99, 21, 42, 48
125, 118, 8, 28, 42
125, 123, 3, 28, 44
129, 116, 14, 77, 37
129, 126, 4, 77, 80
130, 107, 24, 39, 57
130, 121, 10, 39, 74
130, 127, 4, 65, 49
130, 114, 17, 65, 68
132, 130, 3, 10, 65
132, 132, 1, 10, 10
134, 120, 15, 16, 9
134, 122, 13, 16, 54
134, 133, 2, 61, 17
134, 129, 6, 61, 72
135, 124, 12, 32, 29
135, 135, 1, 32, 32
138, 137, 2, 39, 5
138, 119, 20, 39, 41
142, 141, 2, 44, 15
142, 140, 3, 44, 60
142, 136, 7, 62, 5
142, 131, 12, 62, 37
144, 134, 11, 0, 17
144, 128, 17, 0, 33
146, 143, 4, 60, 77
146, 138, 9, 60, 80
150, 142, 9, 65, 74
150, 150, 1, 65, 65
153, 152, 2, 9, 33
153, 151, 3, 9, 48
153, 144, 10, 42, 45
153, 145, 9, 42, 58
155, 139, 17, 7, 8
155, 148, 8, 7, 24
155, 146, 10, 7, 41
156, 125, 32, 8, 5
156, 153, 4, 8, 48
158, 154, 5, 81, 32
158, 149, 10, 81, 43
160, 157, 4, 7, 13
160, 155, 6, 7, 24
162, 159, 4, 10, 23
162, 156, 7, 10, 64
166, 158, 9, 29, 85
166, 165, 2, 29, 86
166, 166, 1, 29, 29
167, 160, 8, 46, 7
167, 167, 1, 46, 46
171, 164, 8, 9, 16
171, 170, 2, 9, 42
171, 168, 4, 44, 45
171, 171, 1, 44, 44
173, 162, 12, 14, 77
173, 173, 1, 14, 14
176, 174, 3, 37, 30
176, 175, 2, 37, 87
181, 147, 35, 53, 20
181, 163, 19, 53, 52
182, 172, 11, 61, 36
182, 178, 5, 61, 72
184, 177, 8, 65, 8
184, 181, 4, 65, 40
188, 185, 4, 29, 82
188, 184, 5, 29, 83
188, 161, 28, 34, 24
188, 182, 7, 34, 31
191, 189, 3, 37, 1
191, 190, 2, 37, 69
193, 192, 2, 42, 36
193, 176, 18, 42, 44
194, 186, 9, 16, 21
194, 191, 4, 16, 24
194, 188, 7, 21, 8
194, 193, 2, 21, 70
197, 194, 4, 48, 2
197, 196, 2, 48, 86
198, 179, 20, 39, 69
198, 187, 12, 39, 78
202, 197, 6, 44, 55
202, 198, 5, 44, 64
205, 199, 7, 44, 12
205, 183, 23, 44, 29
208, 204, 5, 80, 45
208, 169, 40, 80, 61
209, 202, 8, 65, 74
209, 195, 15, 65, 76
210, 200, 11, 3, 4
210, 207, 4, 3, 11
212, 211, 2, 78, 63
212, 212, 1, 78, 78
217, 205, 13, 65, 29
217, 213, 5, 65, 30
218, 217, 2, 42, 20
218, 210, 9, 42, 23
221, 180, 42, 43, 16
221, 216, 6, 43, 48
221, 218, 4, 84, 62
221, 221, 1, 84, 84
222, 214, 9, 61, 50
222, 209, 14, 61, 62
223, 215, 9, 73, 32
223, 206, 18, 73, 53
226, 223, 4, 66, 7
226, 226, 1, 66, 66
227, 203, 25, 37, 30
227, 224, 4, 37, 80
228, 225, 4, 48, 45
228, 227, 2, 48, 54
228, 208, 21, 61, 44
228, 201, 28, 61, 53
234, 233, 2, 44, 41
234, 231, 4, 44, 81
235, 228, 8, 81, 59
235, 229, 7, 81, 66
237, 222, 16, 25, 8
237, 235, 3, 25, 15
237, 219, 19, 63, 67
237, 234, 4, 63, 74
237, 236, 2, 63, 76
239, 238, 2, 7, 4
239, 220, 20, 7, 24
239, 230, 10, 11, 9
239, 239, 1, 11, 11
244, 243, 2, 42, 82
244, 244, 1, 42, 42
246, 232, 15, 65, 68
246, 242, 5, 65, 86
249, 248, 2, 37, 14
249, 247, 3, 37, 40
249, 246, 4, 37, 67
251, 241, 11, 62, 72
251, 251, 1, 62, 62
252, 250, 3, 15, 11
252, 240, 13, 15, 70
255, 254, 2, 16, 40
255, 245, 11, 16, 58
257, 237, 21, 34, 18
257, 249, 9, 34, 20
258, 253, 6, 17, 8
258, 258, 1, 17, 17
259, 256, 4, 88, 81
259, 259, 1, 88, 88
262, 257, 6, 15, 2
262, 252, 11, 15, 70
269, 260, 10, 8, 45
269, 266, 4, 8, 76
272, 263, 10, 29, 35
272, 265, 8, 29, 57
272, 261, 12, 29, 76
273, 272, 2, 50, 75
273, 267, 7, 50, 89
276, 270, 7, 36, 37
276, 269, 8, 36, 73
277, 275, 3, 63, 60
277, 277, 1, 63, 63
279, 255, 25, 44, 14
279, 264, 16, 44, 84
282, 274, 9, 10, 12
282, 279, 4, 10, 32
282, 271, 12, 50, 10
282, 281, 2, 50, 88
282, 262, 21, 61, 29
282, 273, 10, 61, 81
286, 268, 19, 47, 46
286, 283, 4, 47, 79
287, 284, 4, 9, 12
287, 285, 3, 9, 29
290, 282, 9, 60, 35
290, 288, 3, 60, 55
290, 289, 2, 60, 83
291, 280, 12, 21, 10
291, 287, 5, 21, 16
295, 286, 10, 85, 81
295, 295, 1, 85, 85
296, 291, 6, 18, 50
296, 290, 7, 18, 53
296, 294, 3, 47, 73
296, 278, 19, 47, 77
303, 292, 12, 8, 33
303, 301, 3, 8, 71
303, 276, 28, 10, 0
303, 298, 6, 10, 24
303, 303, 1, 10, 10
307, 300, 8, 29, 34
307, 293, 15, 29, 74
307, 296, 12, 48, 8
307, 306, 2, 48, 57
310, 309, 2, 73, 10
310, 307, 4, 73, 54
