Time of Death, Message ID, Age at Death, Place of Death, Place Before Death
1, 0, 2, 7, 19
1, 8, 2, 7, 88
1, 13, 1, 51, 51
1, 14, 1, 51, 51
2, 9, 2, 8, 3
2, 17, 2, 8, 67
2, 6, 3, 45, 39
2, 5, 3, 45, 53
3, 18, 2, 29, 17
3, 25, 2, 29, 71
3, 7, 4, 29, 81
3, 12, 3, 37, 7
3, 23, 2, 37, 53
3, 33, 1, 54, 54
3, 34, 1, 54, 54
3, 21, 2, 61, 36
3, 11, 3, 61, 65
3, 20, 2, 65, 31
3, 1, 4, 65, 39
4, 28, 2, 21, 11
4, 35, 2, 21, 84
4, 19, 3, 63, 0
4, 15, 4, 63, 42
4, 10, 4, 81, 8
4, 24, 3, 81, 50
4, 43, 1, 81, 81
5, 27, 3, 8, 16
5, 44, 2, 8, 88
5, 37, 2, 37, 13
5, 30, 3, 37, 65
5, 22, 4, 39, 47
5, 31, 3, 39, 48
5, 29, 3, 44, 53
5, 4, 6, 44, 60
5, 16, 5, 44, 73
5, 3, 6, 61, 39
5, 39, 2, 61, 50
5, 40, 2, 61, 54
5, 42, 2, 77, 78
5, 53, 1, 77, 77
6, 52, 2, 10, 66
6, 36, 3, 10, 81
6, 26, 5, 37, 10
6, 45, 2, 37, 21
6, 2, 7, 37, 63
6, 51, 2, 45, 58
6, 57, 1, 45, 45
6, 48, 2, 61, 51
6, 50, 2, 61, 56
7, 55, 2, 10, 21
7, 63, 1, 10, 10
7, 60, 2, 37, 71
7, 66, 1, 37, 37
7, 56, 2, 44, 23
7, 47, 3, 44, 53
7, 32, 5, 61, 34
7, 46, 3, 61, 42
8, 65, 2, 10, 36
8, 49, 4, 10, 81
8, 62, 3, 44, 8
8, 41, 5, 44, 60
9, 67, 3, 3, 8
9, 58, 4, 3, 34
9, 64, 3, 10, 7
9, 72, 2, 10, 12
9, 71, 3, 44, 29
9, 69, 3, 44, 47
9, 59, 4, 44, 53
9, 78, 2, 44, 79
9, 61, 4, 48, 45
9, 74, 2, 48, 59
9, 68, 3, 59, 15
9, 80, 2, 59, 87
9, 77, 2, 60, 72
9, 79, 2, 60, 85
9, 75, 2, 65, 63
9, 85, 1, 65, 65
10, 76, 3, 42, 8
10, 86, 2, 42, 67
10, 54, 5, 42, 73
10, 81, 2, 48, 26
10, 82, 2, 48, 42
10, 89, 2, 61, 87
10, 95, 1, 61, 61
11, 92, 2, 16, 12
11, 70, 5, 16, 29
11, 101, 1, 25, 25
11, 102, 1, 25, 25
11, 90, 2, 60, 5
11, 73, 4, 60, 81
