Node, InDeg, OutDeg, CloseCent, BetwnCent,  Influence, Redundancy, AvgDeathAge
0, 77, 139, 0.6098265895953757, 0.004141713680504889,  0.25274570543508873, 0.0, 3.2323823717266342
1, 69, 61, 0.596045197740113, 0.0016518083665994227,  0.13084495488105005, 0.0, 1.9800156739811912
2, 75, 82, 0.6063218390804598, 0.0024419347498083866,  0.1589492816340662, 0.0, 1.9823032943098284
3, 78, 35, 0.6115942028985507, 0.0010805333760299065,  0.07037950257289881, 0.0, 1.958528951486698
4, 75, 29, 0.6080691642651297, 0.0008054029626311371,  0.0660377358490566, 0.0, 1.9592875318066159
5, 98, 45, 0.6492307692307693, 0.0018557662585020993,  0.1044992743105951, 0.0, 1.9765625
6, 86, 109, 0.6279761904761905, 0.004739619315726855,  0.21037735849056607, 0.0, 1.9864253393665159
7, 98, 86, 0.6492307692307693, 0.00392946625790525,  0.17426912709931577, 0.0, 3.4132639325136855
8, 64, 69, 0.5877437325905293, 0.0021084765369377154,  0.13989875747814084, 0.0, 3.1660887023179414
9, 81, 44, 0.6187683284457478, 0.0015269240991174137,  0.08150943396226416, 0.0, 1.9627439384979302
10, 84, 20, 0.6242603550295858, 0.0009783229392531347,  0.04716981132075472, 0.0, 1.942408376963351
11, 87, 181, 0.6279761904761905, 0.008491812257201676,  0.3594522806374793, 0.0, 3.6348114109771172
12, 72, 48, 0.6028571428571429, 0.0014557129040580934,  0.10248713550600344, 0.0, 1.9733191035218782
13, 89, 62, 0.6317365269461078, 0.0028624030882851664,  0.11911798135939987, 0.0, 1.9761450381679388
14, 72, 37, 0.6011396011396012, 0.0009347588127594602,  0.08718639850715322, 0.0, 1.9707138499084809
15, 68, 37, 0.596045197740113, 0.001111077015000624,  0.08404802744425387, 0.0, 1.968586387434555
16, 61, 144, 0.5828729281767956, 0.0036035190979912366,  0.2987421383647798, 0.0, 1.9910931174089068
17, 70, 53, 0.5977337110481586, 0.0015827940075597384,  0.092482938578884, 0.0, 1.9662983425414364
18, 76, 150, 0.6063218390804598, 0.005776280390232708,  0.2929198580235382, 0.0, 2.5838438847288403
19, 74, 57, 0.6045845272206304, 0.0021196006109446175,  0.11806326304106549, 0.0, 1.9764940239043824
20, 98, 88, 0.6492307692307693, 0.004776816813267506,  0.18454526181895275, 0.0, 1.9856404365307294
