Time of Death, Message ID, Age at Death, Place of Death, Place Before Death
1, 46, 1, 22, 22
1, 47, 1, 22, 22
1, 8, 2, 29, 40
1, 49, 1, 29, 29
1, 27, 2, 39, 113
1, 28, 1, 113, 113
1, 53, 1, 49, 49
1, 54, 1, 49, 49
1, 37, 2, 50, 182
1, 38, 1, 182, 182
1, 41, 2, 68, 202
1, 57, 1, 68, 68
1, 13, 2, 69, 69
1, 18, 2, 69, 84
1, 19, 1, 84, 84
1, 63, 1, 111, 111
1, 64, 1, 111, 111
1, 66, 1, 143, 143
1, 67, 1, 143, 143
1, 2, 2, 157, 13
1, 71, 1, 157, 157
1, 9, 2, 161, 45
1, 73, 1, 161, 161
1, 74, 1, 161, 161
1, 75, 1, 161, 161
1, 16, 2, 187, 83
1, 17, 1, 83, 83
1, 30, 2, 189, 129
1, 81, 1, 189, 189
2, 61, 2, 10, 91
2, 86, 1, 10, 10
2, 87, 1, 15, 15
2, 88, 1, 15, 15
2, 25, 3, 18, 199
2, 83, 2, 18, 208
2, 70, 2, 37, 153
2, 91, 1, 37, 37
2, 10, 3, 61, 31
2, 94, 1, 61, 61
2, 22, 3, 72, 70
2, 82, 2, 72, 207
2, 24, 3, 75, 1
2, 50, 2, 75, 33
2, 78, 2, 78, 175
2, 96, 1, 78, 78
2, 99, 1, 89, 89
2, 100, 1, 89, 89
2, 101, 1, 89, 89
2, 104, 1, 98, 98
2, 105, 1, 98, 98
2, 112, 1, 150, 150
2, 113, 1, 150, 150
2, 43, 2, 186, 6
2, 120, 1, 186, 186
2, 14, 3, 200, 200
2, 123, 1, 200, 200
2, 124, 1, 200, 200
2, 33, 3, 205, 28
2, 62, 2, 205, 102
2, 29, 3, 205, 103
2, 32, 3, 205, 117
2, 125, 1, 205, 205
3, 114, 2, 0, 152
3, 126, 1, 0, 0
3, 31, 4, 9, 71
3, 129, 1, 9, 9
3, 45, 3, 12, 118
3, 131, 1, 12, 12
3, 92, 2, 13, 49
3, 58, 3, 13, 50
3, 97, 2, 23, 79
3, 132, 1, 23, 23
3, 84, 2, 26, 1
3, 116, 2, 26, 165
3, 36, 4, 37, 129
3, 118, 2, 37, 179
3, 52, 3, 51, 144
3, 11, 4, 51, 199
3, 136, 1, 51, 51
3, 137, 1, 51, 51
3, 12, 4, 79, 58
3, 35, 4, 79, 67
3, 103, 2, 86, 97
3, 142, 1, 86, 86
3, 108, 2, 91, 130
3, 144, 1, 91, 91
3, 98, 2, 109, 81
3, 147, 1, 109, 109
3, 148, 1, 110, 110
3, 149, 1, 110, 110
3, 1, 4, 118, 120
3, 65, 3, 118, 153
3, 90, 2, 120, 34
3, 117, 2, 120, 167
3, 42, 3, 131, 29
3, 153, 1, 131, 131
3, 154, 1, 132, 132
3, 155, 1, 132, 132
3, 89, 2, 154, 24
3, 158, 1, 154, 154
3, 60, 3, 159, 115
3, 160, 1, 159, 159
3, 15, 4, 188, 19
3, 163, 1, 188, 188
3, 164, 1, 188, 188
3, 102, 2, 197, 95
3, 165, 1, 197, 197
4, 76, 4, 26, 29
4, 72, 4, 26, 174
4, 5, 5, 35, 63
4, 139, 2, 35, 70
4, 173, 1, 35, 35
4, 69, 4, 56, 183
4, 176, 1, 56, 56
4, 177, 1, 56, 56
4, 107, 3, 65, 87
4, 178, 1, 65, 65
4, 79, 4, 70, 16
4, 180, 1, 70, 70
4, 162, 2, 80, 168
4, 181, 1, 80, 80
4, 44, 4, 84, 24
4, 182, 1, 84, 84
4, 115, 3, 91, 45
4, 122, 3, 91, 57
4, 0, 5, 95, 163
4, 184, 1, 95, 95
4, 140, 2, 97, 74
4, 185, 1, 97, 97
4, 77, 4, 125, 7
4, 192, 1, 125, 125
4, 3, 5, 135, 69
4, 157, 2, 135, 146
4, 138, 2, 147, 55
4, 141, 2, 147, 80
4, 194, 1, 147, 147
4, 119, 3, 148, 61
4, 143, 2, 148, 88
4, 159, 2, 165, 158
4, 196, 1, 165, 165
4, 56, 4, 166, 199
4, 197, 1, 166, 166
4, 55, 4, 169, 103
4, 121, 3, 169, 137
4, 156, 2, 181, 139
4, 161, 2, 181, 161
4, 6, 5, 182, 121
4, 202, 1, 182, 182
4, 111, 3, 189, 49
4, 203, 1, 189, 189
5, 167, 3, 4, 15
5, 210, 1, 4, 4
5, 51, 5, 5, 178
5, 211, 1, 5, 5
5, 130, 3, 11, 79
5, 40, 6, 11, 159
5, 204, 2, 11, 191
5, 175, 2, 31, 44
5, 217, 1, 31, 31
5, 93, 4, 47, 50
5, 106, 4, 47, 104
5, 205, 2, 48, 192
5, 145, 3, 48, 205
5, 85, 4, 63, 154
5, 221, 1, 63, 63
5, 207, 2, 75, 203
5, 222, 1, 75, 75
5, 223, 1, 79, 79
5, 224, 1, 79, 79
5, 228, 1, 97, 97
5, 229, 1, 97, 97
5, 80, 5, 115, 37
5, 232, 1, 115, 115
5, 26, 6, 125, 86
5, 236, 1, 125, 125
5, 95, 4, 133, 106
5, 150, 3, 133, 108
5, 168, 2, 159, 14
5, 243, 1, 159, 159
5, 172, 2, 179, 34
5, 39, 6, 179, 208
5, 246, 1, 179, 179
5, 247, 1, 180, 180
5, 248, 1, 180, 180
5, 133, 3, 183, 4
5, 249, 1, 183, 183
5, 170, 2, 204, 20
5, 23, 6, 204, 63
6, 252, 1, 14, 14
6, 253, 1, 14, 14
6, 244, 2, 16, 167
6, 189, 3, 16, 203
6, 254, 1, 16, 16
6, 171, 3, 27, 37
6, 152, 4, 27, 61
6, 187, 3, 35, 164
6, 257, 1, 35, 35
6, 206, 3, 58, 69
6, 262, 1, 58, 58
6, 227, 2, 79, 90
6, 265, 1, 79, 79
6, 191, 3, 81, 134
6, 238, 2, 81, 135
6, 146, 4, 86, 181
6, 266, 1, 86, 86
6, 272, 1, 114, 114
6, 273, 1, 114, 114
6, 274, 1, 114, 114
6, 214, 2, 120, 21
6, 276, 1, 120, 120
6, 134, 4, 128, 0
6, 59, 6, 128, 19
6, 7, 7, 141, 6
6, 282, 1, 141, 141
6, 283, 1, 143, 143
6, 284, 1, 143, 143
6, 241, 2, 144, 154
6, 285, 1, 144, 144
6, 231, 2, 150, 106
6, 233, 2, 150, 117
6, 188, 3, 150, 196
6, 193, 3, 165, 60
6, 242, 2, 165, 156
6, 151, 4, 171, 108
6, 287, 1, 171, 171
6, 212, 2, 176, 9
6, 208, 3, 176, 73
6, 216, 2, 196, 28
6, 174, 3, 196, 45
7, 255, 2, 16, 19
7, 237, 3, 16, 42
7, 292, 2, 16, 193
7, 169, 4, 18, 1
7, 128, 5, 18, 2
7, 225, 3, 18, 198
7, 179, 4, 23, 136
7, 295, 1, 23, 23
7, 186, 4, 27, 46
7, 20, 8, 27, 100
7, 135, 5, 40, 68
7, 218, 3, 40, 186
7, 279, 2, 47, 129
7, 296, 1, 47, 47
7, 298, 1, 53, 53
7, 299, 1, 53, 53
7, 261, 2, 55, 55
7, 199, 4, 55, 180
7, 209, 4, 58, 84
7, 200, 4, 58, 102
7, 293, 2, 60, 206
7, 300, 1, 60, 60
7, 259, 2, 61, 40
7, 245, 3, 61, 103
7, 48, 7, 107, 151
7, 286, 2, 107, 161
7, 198, 4, 108, 13
7, 271, 2, 108, 111
7, 311, 1, 129, 129
7, 312, 1, 129, 129
7, 321, 1, 160, 160
7, 322, 1, 160, 160
7, 323, 1, 160, 160
7, 324, 1, 162, 162
7, 325, 1, 162, 162
7, 288, 2, 171, 173
7, 327, 1, 171, 171
7, 250, 3, 175, 88
7, 329, 1, 175, 175
7, 190, 4, 182, 210
7, 333, 1, 182, 182
7, 280, 2, 200, 130
7, 230, 3, 200, 154
8, 301, 2, 6, 72
8, 326, 2, 6, 167
8, 277, 3, 6, 199
8, 317, 2, 21, 145
8, 281, 3, 21, 168
8, 219, 4, 30, 80
8, 110, 7, 30, 92
8, 338, 1, 30, 30
8, 328, 2, 38, 172
8, 341, 1, 38, 38
8, 319, 2, 46, 155
8, 344, 1, 46, 46
8, 235, 4, 47, 19
8, 297, 2, 47, 49
8, 127, 6, 47, 57
8, 304, 2, 47, 85
8, 256, 3, 57, 8
8, 109, 7, 57, 118
8, 346, 1, 76, 76
8, 347, 1, 76, 76
8, 251, 4, 80, 157
8, 348, 1, 80, 80
8, 291, 3, 101, 75
8, 310, 2, 101, 122
8, 305, 2, 103, 88
8, 350, 1, 103, 103
8, 315, 2, 121, 137
8, 330, 2, 121, 178
8, 308, 2, 132, 112
8, 313, 2, 132, 131
8, 356, 1, 132, 132
8, 68, 8, 135, 65
8, 358, 1, 135, 135
8, 220, 4, 137, 208
8, 359, 1, 137, 137
8, 270, 3, 139, 111
8, 360, 1, 139, 139
8, 363, 1, 160, 160
8, 364, 1, 160, 160
8, 289, 3, 167, 198
