Time of Death, Message ID, Age at Death, Place of Death, Place Before Death
1, 42, 1, 0, 0
1, 43, 1, 0, 0
1, 6, 2, 21, 23
1, 47, 1, 21, 21
1, 26, 2, 25, 136
1, 27, 1, 136, 136
1, 48, 1, 25, 25
1, 24, 2, 33, 114
1, 40, 2, 33, 197
1, 50, 1, 39, 39
1, 51, 1, 39, 39
1, 4, 2, 59, 18
1, 10, 2, 59, 44
1, 29, 2, 59, 148
1, 14, 2, 60, 79
1, 15, 1, 79, 79
1, 57, 1, 74, 74
1, 58, 1, 74, 74
1, 1, 2, 85, 4
1, 30, 2, 85, 153
1, 33, 2, 86, 172
1, 34, 1, 172, 172
1, 21, 2, 91, 102
1, 60, 1, 91, 91
1, 5, 2, 104, 20
1, 62, 1, 104, 104
1, 0, 2, 130, 2
1, 8, 2, 130, 40
1, 13, 2, 130, 70
1, 66, 1, 130, 130
1, 68, 1, 136, 136
1, 69, 1, 136, 136
1, 72, 1, 161, 161
1, 73, 1, 161, 161
1, 22, 2, 175, 106
1, 23, 1, 106, 106
2, 20, 3, 6, 71
2, 41, 3, 6, 110
2, 12, 3, 17, 157
2, 86, 1, 17, 17
2, 37, 3, 35, 72
2, 91, 1, 35, 35
2, 92, 1, 35, 35
2, 25, 3, 75, 78
2, 97, 1, 75, 75
2, 71, 2, 82, 158
2, 99, 1, 82, 82
2, 17, 3, 94, 18
2, 70, 2, 94, 155
2, 31, 3, 99, 154
2, 107, 1, 99, 99
2, 54, 2, 141, 67
2, 2, 3, 141, 146
2, 44, 2, 146, 2
2, 118, 1, 146, 146
2, 79, 2, 167, 181
2, 120, 1, 167, 167
2, 123, 1, 204, 204
2, 124, 1, 204, 204
2, 125, 1, 204, 204
2, 46, 2, 206, 7
2, 80, 2, 206, 184
3, 85, 2, 19, 9
3, 74, 3, 19, 91
3, 131, 1, 19, 19
3, 90, 2, 34, 31
3, 116, 2, 34, 135
3, 103, 2, 37, 93
3, 45, 3, 37, 182
3, 93, 2, 52, 43
3, 119, 2, 52, 153
3, 137, 1, 59, 59
3, 138, 1, 59, 59
3, 81, 3, 67, 29
3, 140, 1, 67, 67
3, 65, 3, 80, 10
3, 117, 2, 80, 136
3, 143, 1, 80, 80
3, 89, 2, 111, 26
3, 147, 1, 111, 111
3, 149, 1, 130, 130
3, 150, 1, 130, 130
3, 151, 1, 136, 136
3, 152, 1, 136, 136
3, 83, 3, 159, 155
3, 158, 1, 159, 159
3, 75, 3, 163, 61
3, 160, 1, 163, 163
3, 61, 3, 167, 165
3, 161, 1, 167, 167
3, 28, 4, 173, 83
3, 59, 3, 173, 139
3, 110, 2, 182, 107
3, 165, 1, 182, 182
3, 9, 4, 189, 192
3, 55, 3, 189, 200
3, 18, 4, 196, 34
3, 102, 2, 196, 92
3, 19, 4, 196, 104
3, 167, 1, 196, 196
3, 7, 4, 205, 27
3, 63, 3, 205, 207
4, 159, 2, 3, 162
4, 168, 1, 3, 3
4, 169, 1, 4, 4
4, 170, 1, 4, 4
4, 53, 4, 8, 143
4, 172, 1, 8, 8
4, 146, 2, 12, 108
4, 173, 1, 12, 12
4, 126, 2, 26, 5
4, 162, 2, 26, 170
4, 144, 2, 30, 88
4, 174, 1, 30, 30
4, 175, 1, 30, 30
4, 121, 3, 47, 87
4, 178, 1, 47, 47
4, 135, 2, 52, 51
4, 106, 3, 52, 149
4, 96, 3, 52, 150
4, 84, 3, 52, 168
4, 155, 2, 62, 148
4, 181, 1, 62, 62
4, 141, 2, 74, 71
4, 100, 3, 74, 179
4, 122, 3, 83, 103
4, 153, 2, 83, 140
4, 95, 3, 114, 97
4, 11, 5, 114, 144
4, 36, 5, 119, 74
