Node, InDeg, OutDeg, InCloseCent, InBetwnCent, OutCloseCent, OutBetwenCent
0, 46, 89, 0.013327067176558146, 0.5111579193727693, 0.013327067176558143, 0.013327067176558143
1, 42, 27, 0.0021875158712668773, 0.5111579193727693, 0.002187515871266876, 0.002187515871266876
2, 57, 22, 0.003044311927608674, 0.54478672985782, 0.0030443119276086744, 0.0030443119276086744
3, 13, 19, 0.0004098946206327631, 0.4404658666935565, 0.00040989462063276285, 0.00040989462063276285
4, 47, 16, 0.0027469540819231014, 0.53493270632034, 0.0027469540819231014, 0.0027469540819231014
5, 45, 24, 0.002262251084062319, 0.5098989097191418, 0.002262251084062319, 0.002262251084062319
6, 44, 62, 0.00924342127525799, 0.5175473933649288, 0.009243421275257993, 0.009243421275257993
7, 42, 47, 0.0036292067666646925, 0.508646086845139, 0.003629206766664695, 0.003629206766664695
8, 12, 22, 0.0022077507386245986, 0.4004235151759605, 0.0022077507386245986, 0.0022077507386245986
9, 32, 21, 0.0018731628862702994, 0.4905662496350037, 0.0018731628862703, 0.0018731628862703
10, 15, 18, 0.00104481683424199, 0.4312894944707741, 0.0010448168342419902, 0.0010448168342419902
11, 15, 3, 0.0007020019604534279, 0.42077023850807227, 0.0007020019604534279, 0.0007020019604534279
12, 14, 16, 0.0012597996695979444, 0.4423481994572042, 0.001259799669597945, 0.001259799669597945
13, 42, 17, 0.0025573631810994085, 0.5111579193727693, 0.0025573631810994093, 0.0025573631810994093
14, 44, 16, 0.0023649548832671338, 0.5201481340351044, 0.002364954883267136, 0.002364954883267136
15, 14, 21, 0.0008309520164839326, 0.43400200701461544, 0.0008309520164839324, 0.0008309520164839324
16, 32, 53, 0.004837288716252435, 0.48825225789144233, 0.0048372887162524345, 0.0048372887162524345
17, 35, 16, 0.0015386794809573389, 0.4976417243893547, 0.0015386794809573389, 0.0015386794809573389
18, 38, 68, 0.008438025770491119, 0.4964483389591644, 0.00843802577049112, 0.00843802577049112
19, 24, 23, 0.0010719716034130308, 0.4600421274354924, 0.0010719716034130304, 0.0010719716034130304
20, 52, 55, 0.008937602269251143, 0.5188445046264952, 0.008937602269251143, 0.008937602269251143
21, 50, 31, 0.004659516226594037, 0.5363185423470767, 0.004659516226594035, 0.004659516226594035
22, 64, 28, 0.006031730549747997, 0.5610269846774297, 0.006031730549747994, 0.006031730549747994
23, 45, 8, 0.0007751700312825659, 0.508646086845139, 0.0007751700312825656, 0.0007751700312825656
24, 19, 18, 0.0010201522015020304, 0.45102169356420824, 0.0010201522015020302, 0.0010201522015020302
25, 34, 14, 0.0014917737229038304, 0.48710342904934484, 0.001491773722903831, 0.001491773722903831
26, 62, 32, 0.015770597396045877, 0.5550106095066262, 0.01577059739604586, 0.01577059739604586
27, 22, 3, 4.36718098699313e-05, 0.4404658666935565, 4.36718098699313e-05, 4.36718098699313e-05
28, 35, 21, 0.0024081805944718986, 0.4976417243893547, 0.0024081805944718986, 0.0024081805944718986
29, 60, 97, 0.019763444473500424, 0.5335540137782772, 0.019763444473500424, 0.019763444473500424
30, 9, 94, 0.00402589211186085, 0.40276061740461394, 0.0040258921118608475, 0.0040258921118608475
31, 40, 22, 0.0026706303129077806, 0.5254288257511969, 0.0026706303129077793, 0.0026706303129077793
32, 35, 47, 0.0032938355113359585, 0.5000457906907526, 0.0032938355113359585, 0.0032938355113359585
33, 33, 26, 0.0011675258270935083, 0.47700220586629394, 0.001167525827093508, 0.001167525827093508
34, 74, 8, 0.0022845769632798972, 0.5766544772868288, 0.002284576963279896, 0.002284576963279896
35, 40, 35, 0.010247097653606712, 0.5227751448130595, 0.010247097653606718, 0.010247097653606718
36, 26, 3, 0.0011456405779386016, 0.4471251778530703, 0.0011456405779386016, 0.0011456405779386016
37, 31, 33, 0.004722572918787494, 0.5136946832406243, 0.004722572918787494, 0.004722572918787494
38, 10, 49, 0.006907570725180382, 0.3563149007675931, 0.006907570725180385, 0.006907570725180385
39, 33, 10, 0.0008171757122443847, 0.4940786571502901, 0.0008171757122443845, 0.0008171757122443845
40, 50, 82, 0.024712801690854956, 0.5419344433140617, 0.024712801690854956, 0.024712801690854956
41, 6, 40, 0.006709737381975385, 0.3763981042654029, 0.006709737381975386, 0.006709737381975386
42, 33, 29, 0.0021630533039202825, 0.4781038275888489, 0.0021630533039202825, 0.0021630533039202825
43, 10, 32, 0.0005332653530726859, 0.40751763257081014, 0.0005332653530726857, 0.0005332653530726857
44, 63, 31, 0.006319592055106104, 0.5462241618627218, 0.0063195920551061, 0.0063195920551061
45, 59, 74, 0.01759905665728232, 0.53493270632034, 0.017599056657282328, 0.017599056657282328
46, 39, 23, 0.0039450976980720046, 0.5000457906907526, 0.003945097698072003, 0.003945097698072003
47, 52, 21, 0.003877628383672063, 0.5321824096297469, 0.0038776283836720656, 0.0038776283836720656
48, 34, 27, 0.0027147397508797133, 0.4964483389591644, 0.0027147397508797133, 0.0027147397508797133
49, 16, 3, 0.0006203167559925721, 0.4004235151759605, 0.0006203167559925726, 0.0006203167559925726
50, 6, 34, 0.005850568821728626, 0.3703380274525431, 0.0058505688217286266, 0.0058505688217286266
51, 22, 38, 0.0015215591718168834, 0.46416806579814257, 0.0015215591718168828, 0.0015215591718168828
52, 33, 26, 0.006569489286873923, 0.48482191415918396, 0.006569489286873923, 0.006569489286873923
53, 47, 24, 0.00308662168378253, 0.5149725307113721, 0.00308662168378253, 0.00308662168378253
54, 26, 108, 0.022071199088347444, 0.473727591180713, 0.02207119908834743, 0.02207119908834743
55, 42, 18, 0.003963007762818833, 0.5267657947734646, 0.0039630077628188334, 0.0039630077628188334
56, 39, 72, 0.011288057311806753, 0.5061588199168009, 0.011288057311806753, 0.011288057311806753
57, 29, 18, 0.001670055451719609, 0.475905649071199, 0.0016700554517196087, 0.0016700554517196087
58, 13, 7, 0.0016194109262581185, 0.40197855795334286, 0.0016194109262581177, 0.0016194109262581177
59, 16, 16, 0.0007895053325067094, 0.43400200701461544, 0.0007895053325067098, 0.0007895053325067098
60, 35, 41, 0.008092221093458743, 0.5098989097191418, 0.008092221093458743, 0.008092221093458743
61, 49, 85, 0.01611003153755674, 0.5201481340351044, 0.016110031537556736, 0.016110031537556736
62, 27, 26, 0.0018128678768530436, 0.4917314901329491, 0.0018128678768530452, 0.0018128678768530452
63, 25, 38, 0.007822819024850011, 0.45800654280082204, 0.007822819024850013, 0.007822819024850013
64, 12, 25, 0.00649304479398541, 0.3777718199744007, 0.006493044793985408, 0.006493044793985408
65, 10, 54, 0.0015271528816954004, 0.4190667152752461, 0.0015271528816954007, 0.0015271528816954007
66, 43, 12, 0.0035871626243902436, 0.5321824096297469, 0.0035871626243902436, 0.0035871626243902436
67, 36, 32, 0.003018409253592589, 0.4859599937698863, 0.0030184092535925893, 0.0030184092535925893
68, 15, 16, 0.0027856474965018817, 0.39060180631315394, 0.002785647496501882, 0.002785647496501882
69, 39, 19, 0.0019694301299124726, 0.4976417243893547, 0.0019694301299124726, 0.0019694301299124726
70, 21, 54, 0.0034657048536034085, 0.45200645708727416, 0.003465704853603407, 0.003465704853603407
71, 32, 50, 0.0044298287425999765, 0.48143943568830594, 0.004429828742599974, 0.004429828742599974
72, 31, 25, 0.0032282249792104953, 0.4940786571502901, 0.0032282249792104974, 0.0032282249792104974
73, 95, 45, 0.014493744979638496, 0.6292369524193664, 0.014493744979638502, 0.014493744979638502
74, 47, 39, 0.006183008303149723, 0.5267657947734646, 0.006183008303149723, 0.006183008303149723
75, 60, 45, 0.008164753348192591, 0.5565025735106762, 0.00816475334819259, 0.00816475334819259
76, 21, 30, 0.004852437759407427, 0.4277251184834123, 0.004852437759407427, 0.004852437759407427
77, 21, 4, 0.00014447227096022692, 0.47700220586629394, 0.00014447227096022692, 0.00014447227096022692
78, 48, 13, 0.0014770651106994703, 0.53493270632034, 0.00147706511069947, 0.00147706511069947
79, 12, 5, 0.00021233393843670252, 0.4099385293979635, 0.0002123339384367025, 0.0002123339384367025
80, 32, 40, 0.0032201356189176977, 0.49884086107463027, 0.003220135618917699, 0.003220135618917699
81, 43, 21, 0.008289989855753618, 0.5136946832406243, 0.008289989855753617, 0.008289989855753617
82, 67, 21, 0.00464839241686737, 0.5766544772868288, 0.004648392416867368, 0.004648392416867368
83, 15, 5, 0.00025700187976505825, 0.40276061740461394, 0.00025700187976505836, 0.00025700187976505836
84, 27, 4, 0.0008859997269761809, 0.4859599937698863, 0.0008859997269761805, 0.0008859997269761805
85, 54, 27, 0.0038260732481434673, 0.5405194708772103, 0.003826073248143465, 0.003826073248143465
86, 14, 21, 0.0007705123030084765, 0.4423481994572042, 0.0007705123030084763, 0.0007705123030084763
87, 20, 67, 0.0036861734951127013, 0.4414050263240332, 0.003686173495112704, 0.003686173495112704
88, 19, 8, 0.00048134261261746565, 0.4631296584921064, 0.00048134261261746565, 0.00048134261261746565
89, 24, 18, 0.001218689373156678, 0.4500412116216773, 0.0012186893731566785, 0.0012186893731566785
90, 6, 49, 0.0023409480370595944, 0.38767595008608907, 0.0023409480370595944, 0.0023409480370595944
91, 21, 101, 0.010717827973407819, 0.45102169356420824, 0.010717827973407826, 0.010717827973407826
92, 20, 5, 0.00019958033611558682, 0.4549867194416957, 0.00019958033611558682, 0.00019958033611558682
93, 53, 49, 0.008967495213856109, 0.5405194708772103, 0.008967495213856102, 0.008967495213856102
94, 51, 64, 0.00770919502035086, 0.5240986261923332, 0.007709195020350855, 0.007709195020350855
95, 20, 17, 0.002397954252059656, 0.46209588693297227, 0.0023979542520596556, 0.0023979542520596556
96, 39, 12, 0.0009914167359977566, 0.5201481340351044, 0.0009914167359977562, 0.0009914167359977562
97, 20, 38, 0.0015238708228145729, 0.46106672014693, 0.0015238708228145716, 0.0015238708228145716
98, 83, 21, 0.01078160872781295, 0.6088792863116811, 0.01078160872781295, 0.01078160872781295
99, 35, 27, 0.0049321821518036315, 0.5049242862096868, 0.004932182151803633, 0.004932182151803633
100, 22, 15, 0.003169507668465288, 0.4277251184834123, 0.003169507668465287, 0.003169507668465287
101, 55, 74, 0.02448132658234593, 0.5520505529225909, 0.024481326582345916, 0.024481326582345916
102, 15, 45, 0.005803921428577036, 0.445202058808541, 0.005803921428577035, 0.005803921428577035
103, 22, 41, 0.008133799102878378, 0.48032240683520083, 0.008133799102878378, 0.008133799102878378
104, 25, 31, 0.0020441549830112933, 0.4792105494119712, 0.0020441549830112933, 0.0020441549830112933
105, 5, 18, 0.00013090987481388235, 0.3080639246219815, 0.0001309098748138823, 0.0001309098748138823
106, 22, 53, 0.004894922163100336, 0.4652111401033069, 0.0048949221631003365, 0.0048949221631003365
107, 43, 32, 0.0038186133528535096, 0.5240986261923332, 0.0038186133528535083, 0.0038186133528535083
108, 27, 27, 0.0056801420710133185, 0.48256167213513185, 0.005680142071013321, 0.005680142071013321
109, 36, 57, 0.005713608772164272, 0.4859599937698863, 0.005713608772164269, 0.005713608772164269
110, 34, 30, 0.0019242065185976313, 0.4917314901329491, 0.001924206518597629, 0.001924206518597629
111, 38, 55, 0.0065607123009703925, 0.4905662496350037, 0.0065607123009703856, 0.0065607123009703856
112, 43, 26, 0.002143532010916337, 0.5254288257511969, 0.0021435320109163365, 0.0021435320109163365
113, 22, 43, 0.003211817084902238, 0.4471251778530703, 0.003211817084902235, 0.003211817084902235
114, 22, 45, 0.0016824681755679572, 0.46416806579814257, 0.0016824681755679585, 0.0016824681755679585
115, 93, 28, 0.014323005701645177, 0.6311553577621084, 0.014323005701645167, 0.014323005701645167
116, 25, 7, 0.00019499968895698503, 0.4652111401033069, 0.00019499968895698503, 0.00019499968895698503
117, 36, 12, 0.0030930940619426544, 0.5149725307113721, 0.0030930940619426518, 0.0030930940619426518
118, 53, 41, 0.016280830798279806, 0.5565025735106762, 0.016280830798279806, 0.016280830798279806
119, 50, 71, 0.025374985901407177, 0.5476691993279671, 0.02537498590140719, 0.02537498590140719
120, 53, 95, 0.014096685595131896, 0.5240986261923332, 0.014096685595131891, 0.014096685595131891
121, 53, 20, 0.0027064839211232592, 0.5433568434277468, 0.00270648392112326, 0.00270648392112326
122, 13, 6, 0.000260497641113597, 0.4115685036699236, 0.00026049764111359705, 0.00026049764111359705
123, 43, 16, 0.019513716676475185, 0.5240986261923332, 0.019513716676475185, 0.019513716676475185
124, 17, 31, 0.006077650015294374, 0.41321149170852606, 0.0060776500152943756, 0.0060776500152943756
125, 32, 49, 0.016955599557423803, 0.49884086107463027, 0.01695559955742381, 0.01695559955742381
126, 60, 43, 0.012455203013498678, 0.5656255665190479, 0.012455203013498674, 0.012455203013498674
127, 54, 34, 0.006597194542819991, 0.5433568434277468, 0.006597194542819988, 0.006597194542819988
128, 45, 41, 0.0034308800008032866, 0.5111579193727693, 0.003430880000803287, 0.003430880000803287
