Node, InDeg, OutDeg, CloseCent, BetwnCent, influence_mean_0, influence_mean_1, influence_mean_2, influence_mean_3, influence_mean_4, influence_std_0, influence_std_1, influence_std_2, influence_std_3, influence_std_4, redundancy_mean_0, redundancy_mean_1, redundancy_mean_2, redundancy_mean_3, redundancy_mean_4, redundancy_std_0, redundancy_std_1, redundancy_std_2, redundancy_std_3, redundancy_std_4, avgdeathage_mean_0, avgdeathage_mean_1, avgdeathage_mean_2, avgdeathage_mean_3, avgdeathage_mean_4, avgdeathage_std_0, avgdeathage_std_1, avgdeathage_std_2, avgdeathage_std_3, avgdeathage_std_4
0, 24, 23, 0.5261845386533666, 0.002088613921120626, 0.21425539083557954, 0.29481027423834016, 0.19661934870246328, 0.07054096343940167, 0.05283770327424696, 0.2556513424977118, 0.14466807748766156, 0.04140575099772154, 0.016081787109778187, 0.007176871465024248, 0.22999999999999998, 0.03611111111111111, 0.0, 0.0005952380952380952, 0.0, 0.42906875905849867, 0.11689791895833784, 0.0, 0.0025945827044884964, 0.0, 3.0221204865841194, 3.1770354691786147, 2.838252644077125, 3.4079204483290773, 2.5624742674391507, 1.8215497354244428, 0.8327616705441372, 0.030908618705739303, 0.6915953351113536, 0.39857667498067784
1, 33, 30, 0.5424164524421594, 0.003646914834611708, 0.2476434748427673, 0.2971605432041753, 0.21054675279414145, 0.07741750299188044, 0.06153819378857063, 0.2897868912874927, 0.15589418408261027, 0.02771818882263312, 0.013539433348924284, 0.00910536795307759, 0.058333333333333334, 0.02, 0.0, 0.0, 0.0, 0.2542691050398727, 0.08717797887081348, 0.0, 0.0, 0.0, 2.770985866344674, 3.012668500019382, 2.854772479047609, 3.825578699703793, 2.8277657632705058, 1.6367916032608678, 0.8776228458778977, 0.023708938842644665, 0.8105826752091028, 0.2954278814265698
2, 28, 25, 0.5341772151898734, 0.002761029632772715, 0.22733995956873318, 0.30140719867134963, 0.2211704357336453, 0.07135945555214326, 0.05598884047222241, 0.18928421653475955, 0.1373346393159755, 0.04947079943687676, 0.0184286940102648, 0.006969286142367896, 0.448095238095238, 0.06317460317460317, 0.0, 0.0, 0.0, 0.4826159348690936, 0.13237333920478378, 0.0, 0.0, 0.0, 3.3998003700478234, 3.3119094602840784, 2.8554317849288795, 3.6961799254558705, 2.8810395441129457, 1.6196213739178549, 0.9097410225662107, 0.03878653240251351, 0.6982247861991208, 0.3828684714188575
3, 37, 32, 0.548051948051948, 0.004018981241244956, 0.22091662923030847, 0.33287728191619703, 0.23474651357634765, 0.0866851242090353, 0.06768538809816492, 0.19288342090152302, 0.13771413752319092, 0.05567889422863365, 0.015438473683762777, 0.011114917136857829, 0.025, 0.06818181818181818, 0.0044444444444444444, 0.0, 0.0, 0.10897247358851683, 0.17245459603945945, 0.019372884193514107, 0.0, 0.0, 2.9973539462951586, 3.26683889602979, 2.9949740401669347, 4.044587179450501, 2.8602967422336407, 1.307549398486621, 0.9226531577767313, 0.5608715493703648, 0.6262260360990147, 0.36785460376303775
4, 39, 38, 0.5509138381201044, 0.005300581852301324, 0.2767727987421384, 0.29122655973481437, 0.26520343561513415, 0.09121999076634324, 0.07002641579702365, 0.21275045689543282, 0.16018705119426327, 0.05417511069852579, 0.017727844514401493, 0.009243872696119577, 0.5011904761904762, 0.0, 0.0, 0.004254114630717063, 0.0, 0.42195924349942043, 0.0, 0.0, 0.010603798406139748, 0.0, 3.6311679622910673, 2.7139327525796024, 2.871603294136459, 4.174888667721355, 2.653120354877868, 1.5549271843281764, 0.45492821584698273, 0.01836499693684042, 0.8533176407988924, 0.36227076164728356
5, 33, 29, 0.5424164524421594, 0.003553109582302751, 0.17586141060197663, 0.3593726772441395, 0.23810645162023875, 0.07985886914501383, 0.06447609661336286, 0.19278233506661646, 0.1955242507726091, 0.06228854825622995, 0.016881890247950594, 0.007693110821821499, 0.2873809523809524, 0.13583333333333333, 0.0011363636363636363, 0.0012658227848101266, 0.0, 0.4120995273088326, 0.2981552075308727, 0.004953294254023493, 0.005517593599418574, 0.0, 2.553934119527992, 3.652643451689947, 2.943443812406442, 3.8142930390833762, 2.903792257733258, 1.5581019038045973, 1.5175226996342692, 0.3582173978264538, 0.6508015729742009, 0.2953948425015848
6, 39, 34, 0.5509138381201044, 0.004564424177757676, 0.23603773584905657, 0.28995870808960433, 0.23406247392882204, 0.09077933528063357, 0.0710479622757458, 0.25873302418226374, 0.12886734000842734, 0.060586307263506355, 0.023662737942713726, 0.006823796537137255, 0.6766666666666666, 0.05873015873015872, 0.0, 0.0021585557299843012, 0.0, 1.0183374249781412, 0.14277775571966617, 0.0, 0.007408647946239331, 0.0, 3.25072547097849, 3.1433642086625695, 2.8622115757355524, 3.9631662311621696, 2.8556202017832555, 1.9988514475655734, 0.8236652894692982, 0.03852441618219788, 0.6524063042351829, 0.29898297745475044
7, 30, 40, 0.5368956743002544, 0.004127992239146684, 0.2743894129979036, 0.307464605624983, 0.24947507526745558, 0.10567279748118641, 0.08658692143007907, 0.14194241428882967, 0.13882967204295882, 0.05160994913410025, 0.02410306461188727, 0.00814598257643425, 0.06999999999999999, 0.049090909090909095, 0.004, 0.0, 0.0, 0.14781745499094484, 0.12346244451901789, 0.017435595774162697, 0.0, 0.0, 3.7679271312988805, 3.109338551325128, 2.9634687704279066, 3.8878479102942967, 2.9831633515842895, 1.2453226941035325, 0.8767386746210626, 0.4469452103676437, 0.49296555345854426, 0.18656473786703287
8, 37, 31, 0.5466321243523317, 0.004180532272196832, 0.3417334224999319, 0.3625652020935039, 0.2175991582703339, 0.08095461780406446, 0.06476716063358118, 0.230589240921582, 0.12202633838275638, 0.042337914941153895, 0.022120691760762118, 0.011581696862663, 0.29367243867243864, 0.030396825396825394, 0.0, 0.0, 0.0, 0.39708733457811973, 0.07827388748059771, 0.0, 0.0, 0.0, 3.6904753350465036, 3.1745533701081, 2.8615531030682915, 3.6433007819402015, 2.8099032914001887, 1.1891815085052515, 0.7216390275488778, 0.024790660694656633, 0.5896342792409474, 0.37533196874143837
9, 35, 44, 0.5452196382428941, 0.005201122613907684, 0.287457884097035, 0.3608548081897138, 0.2736884616602983, 0.10364225093987978, 0.08448656432942447, 0.20022100199091808, 0.17377887874528383, 0.05621898624751202, 0.019386785180093923, 0.010782510365118285, 0.370952380952381, 0.0, 0.00502828409805154, 0.0029702970297029703, 0.0, 0.5664002975388998, 0.0, 0.015131919030349881, 0.012947224584774278, 0.0, 3.8283762433274666, 2.9160311036722333, 2.977110302550867, 3.9637271905779143, 2.719843485676366, 1.7582660182881074, 0.22548642829283647, 0.3213232461932578, 1.0519555007787282, 0.3541994273789758
10, 30, 31, 0.5355329949238579, 0.0034086161474997777, 0.23741801437556154, 0.29377569495494027, 0.2414277977428335, 0.09676217387266269, 0.0704153187572248, 0.2064908238937594, 0.13705546419466766, 0.04551695065763833, 0.019080865641340882, 0.010331350633719984, 0.37452380952380954, 0.08452380952380953, 0.0, 0.0, 0.0, 0.3754552036892341, 0.23065456989239316, 0.0, 0.0, 0.0, 3.096821212218102, 3.191690833776312, 2.8680969374970764, 4.133904832533984, 2.816542506542252, 1.4538721150340936, 1.403578068219037, 0.026882022647476585, 0.46718789234905306, 0.43543600971226365
11, 33, 41, 0.541025641025641, 0.004791492708854069, 0.2186118598382749, 0.3851927763012669, 0.2639192953888383, 0.09665502352988416, 0.08176550484040221, 0.14839244007065794, 0.19442836100992156, 0.046414260967558026, 0.01976402207617465, 0.009336001344810628, 0.09523809523809523, 0.02, 0.0, 0.0, 0.0, 0.29661736195042737, 0.08717797887081348, 0.0, 0.0, 0.0, 3.3279448866938806, 3.0719914602315623, 2.8597948509610953, 3.829317644674705, 2.8532518520294103, 1.3807440942355287, 0.5142190391101925, 0.02029216060992498, 0.6487493030433932, 0.2654826000567082
12, 27, 39, 0.5314861460957179, 0.003442090964056901, 0.2618132300089847, 0.3892344958500619, 0.268924897811751, 0.10198967825471816, 0.07960435968926136, 0.30516264581959557, 0.16476256415935153, 0.06570991438836898, 0.018081784016181858, 0.010120558188227984, 0.4319047619047619, 0.06999999999999999, 0.0, 0.001282051282051282, 0.0, 0.6574414435527169, 0.23043437243605824, 0.0, 0.005588331978898299, 0.0, 2.811766428910195, 3.1745228683339857, 2.849100733341565, 3.9125850501816464, 2.676243502864595, 1.34523855078267, 0.6823346521915906, 0.017561360722894433, 0.4810384006679559, 0.33347881363310616
