Node, InDeg, OutDeg, CloseCent, BetwnCent
0, 52, 18, 0.5503410010403422, 0.006690004346348975
1, 52, 29, 0.5488535929294223, 0.012006361431122908
2, 36, 32, 0.5207072548304776, 0.006506078819739702
3, 18, 33, 0.474476236878239, 0.005028905913818631
4, 47, 36, 0.5415355450236967, 0.01153309092870671
5, 23, 57, 0.4823653904605374, 0.010312684456274595
6, 61, 0, 0.5703001579778831, 0.0
7, 21, 26, 0.4869923966040438, 0.0037743605125910807
8, 90, 35, 0.6191336261703849, 0.03538064602591436
9, 36, 5, 0.5220458338917385, 0.0009395416150341451
10, 10, 15, 0.4357850415963224, 0.000694271707109457
11, 38, 29, 0.5330074262044259, 0.010309346372446666
12, 25, 37, 0.47782548090326177, 0.005117410711283866
13, 5, 51, 0.39585931653778994, 0.0076755173050177036
14, 31, 34, 0.49773487594089766, 0.009651945446712525
15, 23, 31, 0.4733702316640705, 0.0033682588373666954
16, 0, 42, 0.0, 0.0
17, 2, 27, 0.3465457839315465, 0.0005943661684494123
18, 48, 1, 0.538662677410839, 0.0001412785120505993
19, 45, 37, 0.5330074262044259, 0.013750289889693087
20, 31, 31, 0.4965179202540006, 0.006045801640588677
21, 68, 36, 0.5736605349827295, 0.017987781698960998
22, 20, 1, 0.4813207841043099, 2.9238898017668447e-05
23, 71, 43, 0.5785636164783085, 0.026331969297695195
24, 40, 31, 0.5274696867113928, 0.010515062785063395
25, 13, 22, 0.45027900085118905, 0.0018317968059362786
26, 20, 18, 0.4733702316640705, 0.002433900872956478
27, 20, 6, 0.4594475777915979, 0.0009084764448916402
28, 9, 17, 0.4061516587677725, 0.0012604618953735373
29, 31, 22, 0.49530690093630797, 0.003487077032032116
30, 35, 51, 0.5154208867611326, 0.016891343589293367
31, 74, 26, 0.5886255924170616, 0.016083021418725682
32, 15, 36, 0.46258731066944475, 0.005074914823144094
33, 24, 20, 0.48933934791297895, 0.004095400824633596
34, 0, 14, 0.0, 0.0
35, 28, 55, 0.4989578117540203, 0.010614938926054803
36, 38, 7, 0.5207072548304776, 0.0015641471630981015
37, 28, 59, 0.4858273430236513, 0.012506188829839563
38, 60, 33, 0.56253692350107, 0.023896320473190364
39, 6, 49, 0.40372928306935635, 0.00551200749791887
40, 7, 56, 0.4553269717127495, 0.008049182260676664
41, 9, 6, 0.45027900085118905, 0.0002321651277358389
42, 5, 0, 0.4245189524398261, 0.0
43, 34, 16, 0.5026629440195205, 0.003178652788365174
44, 35, 46, 0.5167323902897869, 0.014908766193292447
45, 30, 13, 0.5026629440195205, 0.003575860676251008
46, 33, 13, 0.5180505851629751, 0.004844777767585032
47, 22, 4, 0.46048940903375574, 0.002187950634364894
48, 3, 17, 0.3619890006842892, 0.00018496035133946148
49, 19, 54, 0.47008293838862564, 0.008618191565880397
50, 33, 43, 0.5026629440195205, 0.010822036544660272
51, 22, 14, 0.4835138794854435, 0.0013118450143629519
52, 16, 19, 0.4594475777915979, 0.0019486794572226736
53, 63, 10, 0.5656708339384018, 0.005964190746473418
54, 3, 10, 0.37125380143306447, 9.379097621912505e-05
55, 8, 10, 0.37330115695567323, 0.0004944403013804568
56, 44, 14, 0.5261031849323479, 0.005652387148374135
57, 43, 17, 0.5233913128450677, 0.006611723289835079
58, 3, 24, 0.35440807920399, 0.0002199009864182524
59, 41, 22, 0.5247437451780006, 0.007066504394625225
60, 67, 20, 0.5785636164783085, 0.009744354489037776
61, 20, 56, 0.45430834314068513, 0.010997831314655274
62, 10, 56, 0.4424310008363535, 0.00580753702077053
63, 69, 17, 0.5818791672890724, 0.009031001407427484
64, 6, 5, 0.39818790075271815, 0.00012199248130887366
65, 47, 14, 0.538662677410839, 0.006956742258749134
66, 8, 26, 0.38534312976069496, 0.0016914984159834212
67, 15, 46, 0.44146919431279624, 0.00848507898505914
68, 11, 55, 0.45228469795965764, 0.006710683626593851
69, 28, 46, 0.4869923966040438, 0.010120369653757344
70, 57, 17, 0.5594375465120833, 0.0057437080587207315
71, 5, 59, 0.364588562628162, 0.00138273989095811
72, 14, 0, 0.4447779913848937, 0.0
73, 1, 9, 0.2986409255645386, 0.00017714499222985387
74, 26, 6, 0.49773487594089766, 0.0012669356155706841
75, 9, 20, 0.39818790075271815, 0.0012951602055630992
76, 28, 7, 0.5014218009478673, 0.001091291960069469
77, 23, 27, 0.46899729649858257, 0.005375247030022162
78, 18, 37, 0.4668409870893937, 0.006511770382441062
79, 45, 18, 0.5330074262044259, 0.005658551873713174
80, 13, 27, 0.44534173110501374, 0.0018695095536608647
81, 29, 46, 0.49773487594089766, 0.012432992072382583
82, 28, 5, 0.4989578117540203, 0.001834047142480079
83, 5, 12, 0.3665628689239824, 0.00013872070028463649
84, 24, 15, 0.4869923966040438, 0.004027056608955582
85, 4, 18, 0.37537121882418906, 0.0004506424941710715
86, 5, 17, 0.4069655899476679, 0.0021803619894062913
87, 2, 13, 0.31681096627751365, 5.1945462235773046e-05
88, 85, 40, 0.6116741848912237, 0.03268629221978714
89, 15, 31, 0.4800847030351921, 0.0019281713316962705
90, 3, 3, 0.2848188350405137, 5.0194290633535814e-05
91, 17, 36, 0.45027900085118905, 0.003713323343144718
92, 14, 17, 0.44928280837142975, 0.0016256852313825691
93, 1, 20, 0.31194443837770547, 2.547139787587226e-05
94, 22, 20, 0.48122234451157886, 0.004671910978337433
95, 63, 18, 0.56253692350107, 0.014371107905778753
96, 10, 28, 0.4161389946391112, 0.0023319914788286103
97, 80, 54, 0.6025989002489207, 0.04228843395698285
98, 33, 43, 0.5154208867611326, 0.012140483141591569
99, 39, 10, 0.5128177509694097, 0.0025750690111502267
100, 9, 30, 0.41191851802005325, 0.001224959087798215
101, 5, 12, 0.36263540961408264, 0.000635328506337079
102, 78, 16, 0.6008160632659357, 0.008828565632227107
103, 11, 13, 0.42662989366362664, 0.0008983748393908053
